"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","13,313.74","13,155.19","13,326.92","13,059.85","-","1.21%"
"Apr 27, 2020","13,155.19","13,007.05","13,221.28","13,007.05","-","1.14%"
"Apr 24, 2020","13,007.05","13,093.14","13,093.79","12,977.39","-","-0.66%"
"Apr 23, 2020","13,093.14","13,110.74","13,196.18","13,077.55","-","-0.13%"
"Apr 22, 2020","13,110.74","12,996.84","13,110.74","12,923.98","-","0.88%"
"Apr 21, 2020","12,996.84","13,157.00","13,157.00","12,914.00","-","-1.22%"
"Apr 20, 2020","13,157.00","13,116.19","13,165.41","13,066.33","-","0.31%"
"Apr 17, 2020","13,116.19","12,946.06","13,191.03","12,946.06","-","1.31%"
"Apr 16, 2020","12,946.06","12,950.36","12,965.03","12,878.94","-","-0.03%"
"Apr 15, 2020","12,950.36","13,049.29","13,064.81","12,925.93","-","-0.76%"
"Apr 14, 2020","13,049.29","12,832.34","13,049.29","12,832.34","-","1.69%"
"Apr 13, 2020","12,832.34","12,866.16","12,889.06","12,794.17","-","-0.26%"
"Apr 10, 2020","12,866.16","12,855.37","13,023.67","12,812.97","-","0.08%"
"Apr 09, 2020","12,855.37","12,848.24","12,914.04","12,833.02","-","0.06%"
"Apr 08, 2020","12,848.24","12,928.52","12,928.52","12,809.93","-","-0.62%"
"Apr 07, 2020","12,928.52","12,698.12","12,953.49","12,698.12","-","1.81%"
"Apr 06, 2020","12,698.12","12,698.12","12,698.12","12,698.12","-","0.00%"
"Apr 03, 2020","12,698.12","12,764.65","12,764.65","12,642.01","-","-0.52%"
"Apr 02, 2020","12,764.65","12,588.24","12,764.65","12,504.11","-","1.40%"
"Apr 01, 2020","12,588.24","12,614.82","12,775.83","12,570.32","-","-0.21%"
"Mar 31, 2020","12,614.82","12,597.61","12,737.28","12,583.05","-","0.14%"
"Mar 30, 2020","12,597.61","12,666.99","12,666.99","12,469.90","-","-0.55%"
"Mar 27, 2020","12,666.99","12,608.23","12,814.02","12,608.23","-","0.47%"
"Mar 26, 2020","12,608.23","12,661.65","12,756.12","12,528.00","-","-0.42%"
"Mar 25, 2020","12,661.65","12,322.68","12,705.64","12,322.68","-","2.75%"
"Mar 24, 2020","12,322.68","11,959.72","12,332.47","11,959.72","-","3.03%"
"Mar 23, 2020","11,959.72","12,309.49","12,309.49","11,909.12","-","-2.84%"
"Mar 20, 2020","12,309.49","12,006.44","12,347.85","12,006.44","-","2.52%"
"Mar 19, 2020","12,006.44","12,316.12","12,316.12","11,752.85","-","-2.51%"
"Mar 18, 2020","12,316.12","12,601.23","12,789.45","12,306.34","-","-2.26%"
"Mar 17, 2020","12,601.23","12,694.34","12,877.00","12,345.46","-","-0.73%"
"Mar 16, 2020","12,694.34","13,192.21","13,192.21","12,673.25","-","-3.77%"
"Mar 13, 2020","13,192.21","13,405.10","13,405.10","12,811.03","-","-1.59%"
"Mar 12, 2020","13,405.10","13,622.85","13,622.85","13,351.37","-","-1.60%"
"Mar 11, 2020","13,622.85","13,779.13","13,807.93","13,622.85","-","-1.13%"
"Mar 10, 2020","13,779.13","13,525.29","13,835.38","13,456.65","-","1.88%"
"Mar 09, 2020","13,525.29","13,940.55","13,940.55","13,511.67","-","-2.98%"
"Mar 06, 2020","13,940.55","14,191.50","14,191.50","13,931.13","-","-1.77%"
"Mar 05, 2020","14,191.50","13,820.08","14,214.97","13,820.08","-","2.69%"
"Mar 04, 2020","13,820.08","13,731.07","13,828.42","13,698.38","-","0.65%"
"Mar 03, 2020","13,731.07","13,663.67","13,851.67","13,663.67","-","0.49%"
