Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
 All Countries, 6.6,31.1, 5.6,15.2,< 1.0,24.9,< 1.0,15.6
 All Countries, 1.2,74.6,< 1.0,< 1.0, 1.6, 1.3,< 1.0,19.2
 All Countries,< 1.0,89.7, 1.8,< 1.0,< 1.0,< 1.0,< 1.0, 8.0
 All Countries,< 1.0,72.2,< 1.0,< 1.0,< 1.0, 6.8,< 1.0,20.0
 All Countries,< 1.0, 3.6,< 1.0,< 1.0, 1.6,93.1,< 1.0,< 1.0
 All Countries,< 1.0,62.0, 3.2,< 1.0,< 1.0,31.4,< 1.0, 3.0
 All Countries,11.3, 7.2, 8.6,26.0,< 1.0,25.7, 1.2,20.0
Afghanistan,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Albania,< 1.0,16.7,< 1.0,< 1.0,< 1.0,82.1,< 1.0,< 1.0
Algeria,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,97.9,< 1.0, 1.8
American Samoa,< 1.0,98.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Andorra,< 1.0,89.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 8.8
Angola,< 1.0,90.5, 4.2,< 1.0,< 1.0,< 1.0,< 1.0, 5.2
Anguilla,< 1.0,90.6, 2.9,< 1.0,< 1.0,< 1.0, 1.6, 4.0
Antigua and Barbuda,< 1.0,93.0, 3.6,< 1.0,< 1.0,< 1.0,< 1.0, 1.7
Argentina,< 1.0,85.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,12.1
Armenia,< 1.0,98.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.3
Aruba,< 1.0,91.6, 1.3,< 1.0,< 1.0,< 1.0,< 1.0, 6.2
Australia, 2.9,61.7,< 1.0, 1.7,< 1.0, 3.0,< 1.0,28.6
Austria,< 1.0,78.4,< 1.0,< 1.0,< 1.0, 6.2,< 1.0,14.5
Azerbaijan,< 1.0, 2.6,< 1.0,< 1.0,< 1.0,97.3,< 1.0,< 1.0
Bahamas,< 1.0,96.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.0
Bahrain, 3.1,14.1,< 1.0,10.2,< 1.0,69.7,< 1.0, 2.0
Bangladesh,< 1.0,< 1.0,< 1.0, 8.2,< 1.0,90.8,< 1.0,< 1.0
Barbados,< 1.0,95.2,< 1.0,< 1.0,< 1.0,< 1.0, 1.4, 1.9
Belarus,< 1.0,70.7,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,28.6
Belgium,< 1.0,60.5,< 1.0,< 1.0,< 1.0, 7.5,< 1.0,31.0
Belize,< 1.0,87.6, 1.5,< 1.0, 1.1,< 1.0,< 1.0, 9.0
Benin,< 1.0,52.2,17.9,< 1.0,< 1.0,24.6,< 1.0, 5.2
Bermuda,< 1.0,75.0, 3.0,< 1.0,< 1.0, 1.1,< 1.0,19.4
Bhutan,74.7,< 1.0, 1.9,22.5,< 1.0,< 1.0,< 1.0,< 1.0
Bolivia,< 1.0,94.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 4.1
Bosnia-Herzegovina,< 1.0,51.1,< 1.0,< 1.0,< 1.0,46.5,< 1.0, 2.4
Botswana,< 1.0,76.4, 4.4,< 1.0,< 1.0,< 1.0,< 1.0,17.5
Brazil,< 1.0,88.1, 3.2,< 1.0,< 1.0,< 1.0,< 1.0, 8.4
British Virgin Islands,< 1.0,84.5, 8.4, 1.2,< 1.0, 1.2,< 1.0, 3.9
Brunei, 8.6, 9.4, 6.2,< 1.0,< 1.0,75.1,< 1.0,< 1.0
Bulgaria,< 1.0,81.0,< 1.0,< 1.0,< 1.0,14.2,< 1.0, 4.7
Burkina Faso,< 1.0,21.7,15.1,< 1.0,< 1.0,62.7,< 1.0,< 1.0
Burundi,< 1.0,91.0, 6.0,< 1.0,< 1.0, 2.9,< 1.0,< 1.0
Cambodia,96.8,< 1.0,< 1.0,< 1.0,< 1.0, 2.0,< 1.0,< 1.0
Cameroon,< 1.0,69.6, 3.2,< 1.0,< 1.0,19.3, 2.7, 5.2
Canada, 1.0,66.4, 1.2, 1.7, 1.1, 2.8, 1.2,24.5
Cape Verde,< 1.0,89.3, 1.4,< 1.0,< 1.0,< 1.0,< 1.0, 9.0
Cayman Islands,< 1.0,83.5, 4.5,< 1.0,< 1.0,< 1.0,< 1.0, 9.4
Central African Republic,< 1.0,89.0, 1.0,< 1.0,< 1.0, 9.0,< 1.0,< 1.0
Chad,< 1.0,41.1, 1.3,< 1.0,< 1.0,55.1,< 1.0, 2.4
Channel Islands,< 1.0,85.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,14.2
Chile,< 1.0,88.3, 1.5,< 1.0,< 1.0,< 1.0,< 1.0, 9.7
China,18.3, 5.2,21.9,< 1.0,< 1.0, 2.0,< 1.0,51.8
Colombia,< 1.0,92.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 6.7
Comoros,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.3,< 1.0,< 1.0
Republic of the Congo,< 1.0,87.1, 2.7,< 1.0,< 1.0, 1.2, 1.0, 8.0
Democratic Republic of the Congo,< 1.0,95.8,< 1.0,< 1.0,< 1.0, 1.5,< 1.0, 1.7
Cook Islands,< 1.0,96.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.2
Costa Rica,< 1.0,90.8,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 8.0
Ivory Coast,< 1.0,44.0,10.5,< 1.0,< 1.0,37.2,< 1.0, 8.1
Croatia,< 1.0,93.3,< 1.0,< 1.0,< 1.0, 1.6,< 1.0, 5.1
Cuba,< 1.0,58.9,17.6,< 1.0,< 1.0,< 1.0,< 1.0,23.2
Cyprus,< 1.0,72.3,< 1.0,< 1.0,< 1.0,25.0,< 1.0, 1.9
Czech Republic,< 1.0,20.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,78.4
Denmark,< 1.0,81.9,< 1.0,< 1.0,< 1.0, 5.1,< 1.0,12.0
Djibouti,< 1.0, 2.3,< 1.0,< 1.0,< 1.0,96.9,< 1.0,< 1.0
Dominica,< 1.0,94.4, 3.0,< 1.0,< 1.0,< 1.0, 1.7,< 1.0
Dominican Republic,< 1.0,88.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,10.9
Ecuador,< 1.0,94.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 5.6
Egypt,< 1.0, 4.7,< 1.0,< 1.0,< 1.0,95.3,< 1.0,< 1.0
El Salvador,< 1.0,88.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,11.2
Equatorial Guinea,< 1.0,88.7, 1.7,< 1.0,< 1.0, 4.0,< 1.0, 5.0
Eritrea,< 1.0,62.9,< 1.0,< 1.0,< 1.0,36.6,< 1.0,< 1.0
Estonia,< 1.0,39.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,60.2
Ethiopia,< 1.0,61.9, 2.1,< 1.0,< 1.0,35.9,< 1.0,< 1.0
Faeroe Islands,< 1.0,98.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.7
Falkland Islands (Malvinas),< 1.0,67.2,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,31.5
Fiji,< 1.0,64.4,< 1.0,27.9,< 1.0, 6.3,< 1.0,< 1.0
Finland,< 1.0,77.7,< 1.0,< 1.0,< 1.0, 1.3,< 1.0,20.8
France,< 1.0,58.1,< 1.0,< 1.0,< 1.0, 8.3,< 1.0,31.9
French Guiana,< 1.0,84.0, 8.6, 1.4,< 1.0, 1.3,< 1.0, 3.9
French Polynesia,< 1.0,94.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 4.9
Gabon,< 1.0,75.6, 5.7,< 1.0,< 1.0,12.2,< 1.0, 5.7
Gambia,< 1.0, 4.2,< 1.0,< 1.0,< 1.0,95.3,< 1.0,< 1.0
Georgia,< 1.0,87.6,< 1.0,< 1.0,< 1.0,11.6,< 1.0,< 1.0
Germany,< 1.0,66.0,< 1.0,< 1.0,< 1.0, 6.9,< 1.0,26.3
Ghana,< 1.0,73.6, 4.9,< 1.0,< 1.0,17.5,< 1.0, 3.8
Gibraltar,< 1.0,88.8,< 1.0, 1.8, 2.1, 4.0,< 1.0, 2.9
Greece,< 1.0,87.6,< 1.0,< 1.0,< 1.0, 5.9,< 1.0, 6.1
Greenland,< 1.0,96.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
Grenada,< 1.0,96.6, 1.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Guadeloupe,< 1.0,95.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
Guam, 1.1,94.2, 1.5,< 1.0,< 1.0,< 1.0, 1.6, 1.7
Guatemala,< 1.0,95.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.9
Guinea,< 1.0,10.8, 2.7,< 1.0,< 1.0,84.6,< 1.0, 1.8
Guinea-Bissau,< 1.0,18.9,30.6,< 1.0,< 1.0,46.1,< 1.0, 4.4
Guyana,< 1.0,67.9,< 1.0,23.3,< 1.0, 6.1,< 1.0, 2.0
Haiti,< 1.0,87.0, 2.1,< 1.0,< 1.0,< 1.0,< 1.0,10.7
Vatican City,< 1.0,>99.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Honduras,< 1.0,87.5, 1.1,< 1.0,< 1.0,< 1.0,< 1.0,10.5
Hong Kong,13.3,14.9,13.0,< 1.0,< 1.0, 2.1, 1.5,54.7
Hungary,< 1.0,79.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,20.3
Iceland,< 1.0,94.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 3.9
India,< 1.0, 2.4,< 1.0,78.9,< 1.0,15.4, 2.1,< 1.0
Indonesia,< 1.0,10.2,< 1.0, 1.6,< 1.0,87.0,< 1.0,< 1.0
Iran,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Iraq,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Ireland,< 1.0,89.7,< 1.0,< 1.0,< 1.0, 1.5,< 1.0, 7.9
Isle of Man,< 1.0,84.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,15.4
Israel,< 1.0, 2.0,< 1.0,< 1.0,74.0,20.1,< 1.0, 3.2
Italy,< 1.0,80.8,< 1.0,< 1.0,< 1.0, 4.9,< 1.0,13.4
Jamaica,< 1.0,77.3, 4.6,< 1.0,< 1.0,< 1.0,< 1.0,17.0
Japan,33.2, 1.8,< 1.0,< 1.0,< 1.0,< 1.0, 4.5,60.0
Jordan,< 1.0, 2.1,< 1.0,< 1.0,< 1.0,97.1,< 1.0,< 1.0
Kazakhstan,< 1.0,23.1,< 1.0,< 1.0,< 1.0,72.0,< 1.0, 4.0
Kenya,< 1.0,84.5, 1.5,< 1.0,< 1.0,10.5, 1.1, 2.3
Kiribati,< 1.0,97.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.2,< 1.0
Kosovo,< 1.0, 5.6,< 1.0,< 1.0,< 1.0,94.3,< 1.0,< 1.0
Kuwait, 5.4,13.6,< 1.0, 9.9,< 1.0,70.7,< 1.0,< 1.0
Kyrgyzstan,< 1.0,10.0,< 1.0,< 1.0,< 1.0,89.4,< 1.0,< 1.0
Laos,64.0, 1.5,32.8,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Latvia,< 1.0,54.3,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,45.3
Lebanon,< 1.0,38.4,< 1.0,< 1.0,< 1.0,61.2,< 1.0,< 1.0
Lesotho,< 1.0,97.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.8
Liberia,< 1.0,86.2,< 1.0,< 1.0,< 1.0,11.7,< 1.0, 1.4
Libya,< 1.0, 2.7,< 1.0,< 1.0,< 1.0,96.6,< 1.0,< 1.0
Liechtenstein,< 1.0,91.9,< 1.0,< 1.0,< 1.0, 5.0,< 1.0, 2.9
Lithuania,< 1.0,89.9,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 9.8
Luxembourg,< 1.0,70.6,< 1.0,< 1.0,< 1.0, 2.3,< 1.0,26.7
Macau,17.3, 7.2,58.9,< 1.0,< 1.0,< 1.0,< 1.0,15.4
Republic of Macedonia,< 1.0,55.1,< 1.0,< 1.0,< 1.0,43.6,< 1.0, 1.3
Madagascar,< 1.0,84.7, 4.7,< 1.0,< 1.0, 3.1,< 1.0, 7.3
Malawi,< 1.0,83.4, 1.7,< 1.0,< 1.0,12.8,< 1.0, 2.0
Malaysia,15.7, 9.4, 2.2, 5.8,< 1.0,66.1,< 1.0,< 1.0
Maldives,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.4,< 1.0,< 1.0
Mali,< 1.0, 2.4, 2.5,< 1.0,< 1.0,94.6,< 1.0,< 1.0
Malta,< 1.0,97.0,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.5
Marshall Islands,< 1.0,97.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.5
Martinique,< 1.0,96.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 2.3
Mauritania,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Mauritius,< 1.0,32.8,< 1.0,48.4,< 1.0,17.4,< 1.0,< 1.0
Mayotte,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,98.6,< 1.0,< 1.0
Mexico,< 1.0,94.1,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 5.7
Federated States of Micronesia,< 1.0,95.3, 2.7,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0
Moldova,< 1.0,97.4,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.3
Monaco,< 1.0,86.0,< 1.0,< 1.0, 1.7,< 1.0,< 1.0,11.7
Mongolia,54.4, 2.3, 3.4,< 1.0,< 1.0, 3.4,< 1.0,36.5
Montenegro,< 1.0,76.6,< 1.0,< 1.0,< 1.0,20.3,< 1.0, 3.1
Montserrat,< 1.0,93.5,< 1.0,< 1.0,< 1.0,< 1.0, 1.5, 4.8
Morocco,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0,>99.0,< 1.0,< 1.0
Mozambique,< 1.0,57.8, 7.6,< 1.0,< 1.0,17.2,< 1.0,17.3
Burma (Myanmar),79.8, 7.8, 5.8, 1.7,< 1.0, 4.2,< 1.0,< 1.0
Namibia,< 1.0,97.5,< 1.0,< 1.0,< 1.0,< 1.0,< 1.0, 1.9
Nauru, 1.1,79.0, 8.1,< 1.0,< 1.0,< 1.0, 7.4, 4.5
Nepal,10.0,< 1.0, 3.6,80.6,< 1.0, 5.0,< 1.0,< 1.0
