Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
World,All Countries,"2,382,750,000","1,907,110,000","1,193,750,000","1,161,440,000","506,990,000","429,640,000","60,990,000","14,660,000","7,657,330,000"
North America,All Countries,"277,270,000","4,890,000","71,270,000","3,120,000","4,540,000","1,300,000","3,200,000","6,120,000","371,700,000"
South America,All Countries,"585,850,000","890,000","52,430,000","690,000","440,000","11,540,000","1,070,000","480,000","653,390,000"
Europe,All Countries,"534,970,000","50,470,000","148,410,000","1,710,000","1,670,000","1,050,000","970,000","1,370,000","740,600,000"
Africa,All Countries,"664,840,000","710,880,000","33,810,000","4,000,000","930,000","34,790,000","2,530,000","6,470,000","1,458,240,000"
Asia,All Countries,"319,830,000","1,139,990,000","887,840,000","1,151,920,000","499,410,000","380,970,000","53,220,000","210,000","4,433,390,000"
Australia,All Countries,"15,090,000","740,000","6,990,000","410,000","720,000","180,000","210,000","120,000","24,450,000"
Asia,Afghanistan,"40,000","40,610,000","<10,000","10,000","<10,000","<10,000","30,000","<10,000","40,720,000"
Europe,Albania,"540,000","2,640,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","3,220,000"
Africa,Algeria,"70,000","39,430,000","740,000","<10,000","<10,000","10,000","<10,000","<10,000","40,270,000"
Asia,American Samoa,"60,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","60,000"
Europe,Andorra,"70,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","80,000"
Africa,Angola,"22,190,000","50,000","1,270,000","<10,000","<10,000","1,020,000","<10,000","<10,000","24,530,000"
South America,Anguilla,"10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","20,000"
South America,Antigua and Barbuda,"90,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","100,000"
South America,Argentina,"37,420,000","410,000","5,320,000","<10,000","20,000","330,000","120,000","200,000","43,830,000"
Asia,Armenia,"3,180,000","<10,000","40,000","<10,000","<10,000","<10,000","<10,000","<10,000","3,230,000"
South America,Aruba,"100,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","110,000"
Australia,Australia,"15,090,000","740,000","6,990,000","410,000","720,000","180,000","210,000","120,000","24,450,000"
Europe,Austria,"6,720,000","530,000","1,250,000","<10,000","20,000","<10,000","10,000","20,000","8,580,000"
Asia,Azerbaijan,"260,000","9,870,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","10,150,000"
South America,Bahamas,"360,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","380,000"
Africa,Bahrain,"210,000","1,020,000","30,000","150,000","50,000","<10,000","<10,000","<10,000","1,460,000"
Asia,Bangladesh,"520,000","153,010,000","<10,000","13,790,000","1,040,000","120,000","120,000","<10,000","168,580,000"
South America,Barbados,"270,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","<10,000","280,000"
Europe,Belarus,"6,650,000","50,000","2,690,000","<10,000","<10,000","<10,000","<10,000","<10,000","9,410,000"
Europe,Belgium,"6,590,000","810,000","3,370,000","10,000","40,000","30,000","10,000","30,000","10,890,000"
South America,Belize,"330,000","<10,000","30,000","<10,000","<10,000","<10,000","<10,000","<10,000","380,000"
Africa,Benin,"6,010,000","2,830,000","600,000","<10,000","<10,000","2,050,000","<10,000","<10,000","11,500,000"
North America,Bermuda,"50,000","<10,000","10,000","<10,000","<10,000","<10,000","<10,000","<10,000","70,000"
