country,state,county,county_population,latitude,longitude,county_r0,uid,iso2,iso3,code3,fips,jhu_county_population,poverty_percent_state,infographics_date,unemployment_rate,total_unemployed,median_household_income_perc_of_state,median_household_income,emergency_declation_type,emergency_declaration_date,emergency_declaration_notes,url,infographics_population,staffed_beds,licenced_beds,icu_beds,average_ventilator_used_per_hospital,poverty_rate
Denmark,Faroe Islands,,,61.8926,-6.9118,,234,FO,FRO,234.0,,48865.0,,,,,,,,,,,,,,,,
Denmark,Greenland,,,71.7069,-42.6043,,304,GL,GRL,304.0,,56772.0,,,,,,,,,,,,,,,,
France,French Guiana,,,4.0,-53.0,,254,GF,GUF,254.0,,298682.0,,,,,,,,,,,,,,,,
France,French Polynesia,,,-17.6797,149.4068,,258,PF,PYF,258.0,,280904.0,,,,,,,,,,,,,,,,
France,Guadeloupe,,,16.265,-61.551,,312,GP,GLP,312.0,,400127.0,,,,,,,,,,,,,,,,
France,Martinique,,,14.6415,-61.0242,,474,MQ,MTQ,474.0,,375265.0,,,,,,,,,,,,,,,,
France,Mayotte,,,-12.8275,45.166244,,175,YT,MYT,175.0,,272813.0,,,,,,,,,,,,,,,,
France,New Caledonia,,,-20.904304999999997,165.618042,,540,NC,NCL,540.0,,285491.0,,,,,,,,,,,,,,,,
France,Reunion,,,-21.1151,55.5364,,638,RE,REU,638.0,,895308.0,,,,,,,,,,,,,,,,
France,Saint Barthelemy,,,17.9,-62.8333,,652,BL,BLM,652.0,,9885.0,,,,,,,,,,,,,,,,
France,Saint Pierre and Miquelon,,,46.8852,-56.3159,,666,PM,SPM,666.0,,5795.0,,,,,,,,,,,,,,,,
France,St Martin,,,18.0708,-63.0501,,663,MF,MAF,663.0,,38659.0,,,,,,,,,,,,,,,,
Netherlands,Aruba,,,12.5211,-69.9683,,533,AW,ABW,533.0,,106766.0,,,,,,,,,,,,,,,,
Netherlands,Curacao,,,12.1696,-68.99,,531,CW,CUW,531.0,,164100.0,,,,,,,,,,,,,,,,
Netherlands,Sint Maarten,,,18.0425,-63.0548,,534,SX,SXM,534.0,,42882.0,,,,,,,,,,,,,,,,
Netherlands,"Bonaire, Sint Eustatius and Saba",,,12.1784,-68.2385,,535,BQ,BES,535.0,,26221.0,,,,,,,,,,,,,,,,
United Kingdom,Anguilla,,,18.2206,-63.0686,,660,AI,AIA,660.0,,15002.0,,,,,,,,,,,,,,,,
United Kingdom,Bermuda,,,32.3078,-64.7505,,60,BM,BMU,60.0,,62273.0,,,,,,,,,,,,,,,,
United Kingdom,British Virgin Islands,,,18.4207,-64.64,,92,VG,VGB,92.0,,30237.0,,,,,,,,,,,,,,,,
United Kingdom,Cayman Islands,,,19.3133,-81.2546,,136,KY,CYM,136.0,,65720.0,,,,,,,,,,,,,,,,
United Kingdom,Channel Islands,,,49.3723,-2.3644,,8261,GB,GBR,826.0,,170499.0,,,,,,,,,,,,,,,,
United Kingdom,Falkland Islands (Malvinas),,,-51.7963,-59.5236,,238,FK,FLK,238.0,,3483.0,,,,,,,,,,,,,,,,
United Kingdom,Gibraltar,,,36.1408,-5.3536,,292,GI,GIB,292.0,,33691.0,,,,,,,,,,,,,,,,
United Kingdom,Isle of Man,,,54.2361,-4.5481,,833,IM,IMN,833.0,,85032.0,,,,,,,,,,,,,,,,
United Kingdom,Montserrat,,,16.742498,-62.187366000000004,,500,MS,MSR,500.0,,4999.0,,,,,,,,,,,,,,,,
United Kingdom,Turks and Caicos Islands,,,21.694000000000003,-71.7979,,796,TC,TCA,796.0,,38718.0,,,,,,,,,,,,,,,,
Australia,Australian Capital Territory,,,-35.4735,149.0124,,3601,AU,AUS,36.0,,428100.0,,,,,,,,,,,,,,,,
Australia,New South Wales,,,-33.8688,151.2093,,3602,AU,AUS,36.0,,8118000.0,,,,,,,,,,,,,,,,
Australia,Northern Territory,,,-12.4634,130.8456,,3603,AU,AUS,36.0,,245600.0,,,,,,,,,,,,,,,,
Australia,Queensland,,,-27.4698,153.0251,,3604,AU,AUS,36.0,,5115500.0,,,,,,,,,,,,,,,,
Australia,South Australia,,,-34.9285,138.6007,,3605,AU,AUS,36.0,,1756500.0,,,,,,,,,,,,,,,,
Australia,Tasmania,,,-42.8821,147.3272,,3606,AU,AUS,36.0,,535500.0,,,,,,,,,,,,,,,,
Australia,Victoria,,,-37.8136,144.9631,,3607,AU,AUS,36.0,,6629900.0,,,,,,,,,,,,,,,,
Australia,Western Australia,,,-31.9505,115.8605,,3608,AU,AUS,36.0,,2630600.0,,,,,,,,,,,,,,,,
Canada,Alberta,,,53.9333,-116.5765,,12401,CA,CAN,124.0,,4413146.0,,,,,,,,,,,,,,,,
Canada,British Columbia,,,53.7267,-127.6476,,12402,CA,CAN,124.0,,5110917.0,,,,,,,,,,,,,,,,
