STATE,COUNTY,CTYNAME,STNAME,fips,cdc_age_groups,White,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or other Pacific Islander,Other
1,1,Autauga County,Alabama,1001,18-44,13034,70,282,3904,25,619
1,1,Autauga County,Alabama,1001,45-64,11802,84,172,2761,8,304
1,1,Autauga County,Alabama,1001,65-74,4038,36,30,758,2,57
1,1,Autauga County,Alabama,1001,75+,3231,24,29,446,1,47
1,1,Autauga County,Alabama,1001,< 18,10555,53,168,3046,26,622
1,3,Baldwin County,Alabama,1003,18-44,52336,537,979,6799,58,3553
1,3,Baldwin County,Alabama,1003,45-64,53637,483,496,4866,37,1968
1,3,Baldwin County,Alabama,1003,65-74,24797,174,135,1431,10,409
1,3,Baldwin County,Alabama,1003,75+,16743,99,65,808,5,174
1,3,Baldwin County,Alabama,1003,< 18,42788,391,833,5588,36,4027
1,5,Barbour County,Alabama,1005,18-44,3346,61,40,4353,28,384
1,5,Barbour County,Alabama,1005,45-64,3441,42,29,2868,7,185
1,5,Barbour County,Alabama,1005,65-74,1720,14,10,1113,0,25
1,5,Barbour County,Alabama,1005,75+,1305,9,9,623,2,17
1,5,Barbour County,Alabama,1005,< 18,2397,38,25,3085,9,453
1,7,Bibb County,Alabama,1007,18-44,5324,33,12,2145,20,278
1,7,Bibb County,Alabama,1007,45-64,4814,19,30,1169,2,86
1,7,Bibb County,Alabama,1007,65-74,1848,11,3,297,0,45
1,7,Bibb County,Alabama,1007,75+,1308,4,2,185,0,15
1,7,Bibb County,Alabama,1007,< 18,3917,31,6,974,4,164
1,9,Blount County,Alabama,1009,18-44,16516,121,53,300,26,2087
1,9,Blount County,Alabama,1009,45-64,14924,82,48,223,14,880
1,9,Blount County,Alabama,1009,65-74,6051,44,10,87,3,187
1,9,Blount County,Alabama,1009,75+,4178,31,13,52,3,66
1,9,Blount County,Alabama,1009,< 18,13787,100,61,288,24,2316
1,11,Bullock County,Alabama,1011,18-44,848,38,6,2485,41,349
1,11,Bullock County,Alabama,1011,45-64,762,13,5,1896,2,78
1,11,Bullock County,Alabama,1011,65-74,306,3,1,626,3,16
1,11,Bullock County,Alabama,1011,75+,269,3,0,439,0,12
1,11,Bullock County,Alabama,1011,< 18,476,28,7,1722,30,352
1,13,Butler County,Alabama,1013,18-44,2639,19,137,2926,2,90
1,13,Butler County,Alabama,1013,45-64,2950,21,58,2052,2,67
1,13,Butler County,Alabama,1013,65-74,1374,8,12,792,0,14
1,13,Butler County,Alabama,1013,75+,1202,5,4,565,0,10
1,13,Butler County,Alabama,1013,< 18,2118,21,48,2504,6,116
1,15,Calhoun County,Alabama,1015,18-44,26272,194,385,8531,39,1596
1,15,Calhoun County,Alabama,1015,45-64,23637,185,288,5843,32,721
1,15,Calhoun County,Alabama,1015,65-74,9923,69,106,1869,8,130
1,15,Calhoun County,Alabama,1015,75+,6993,41,65,993,8,95
1,15,Calhoun County,Alabama,1015,< 18,19201,128,258,6917,39,1927
1,17,Chambers County,Alabama,1017,18-44,5226,27,220,4426,13,268
1,17,Chambers County,Alabama,1017,45-64,5507,25,127,3640,2,133
1,17,Chambers County,Alabama,1017,65-74,2566,17,7,1227,0,23
1,17,Chambers County,Alabama,1017,75+,1913,7,17,765,0,21
1,17,Chambers County,Alabama,1017,< 18,3970,27,75,3388,0,416
1,19,Cherokee County,Alabama,1019,18-44,6356,33,17,313,4,154
1,19,Cherokee County,Alabama,1019,45-64,7213,55,19,324,2,69
1,19,Cherokee County,Alabama,1019,65-74,3329,29,8,146,0,20
1,19,Cherokee County,Alabama,1019,75+,2308,15,5,73,0,15
1,19,Cherokee County,Alabama,1019,< 18,5011,40,39,253,2,164
1,21,Chilton County,Alabama,1021,18-44,11658,90,87,1579,47,1305
1,21,Chilton County,Alabama,1021,45-64,10344,61,44,1153,13,553
1,21,Chilton County,Alabama,1021,65-74,4051,21,7,348,1,81
1,21,Chilton County,Alabama,1021,75+,2711,13,7,201,0,37
1,21,Chilton County,Alabama,1021,< 18,9695,65,70,1298,16,1524
1,23,Choctaw County,Alabama,1023,18-44,1916,8,14,1423,0,41
1,23,Choctaw County,Alabama,1023,45-64,2037,9,5,1634,0,15
1,23,Choctaw County,Alabama,1023,65-74,982,2,3,674,0,15
1,23,Choctaw County,Alabama,1023,75+,861,2,1,410,0,5
1,23,Choctaw County,Alabama,1023,< 18,1547,3,0,1214,0,58
1,25,Clarke County,Alabama,1025,18-44,3352,42,37,3356,0,86
1,25,Clarke County,Alabama,1025,45-64,3539,28,32,2947,1,79
1,25,Clarke County,Alabama,1025,65-74,1653,20,6,909,1,14
1,25,Clarke County,Alabama,1025,75+,1486,4,6,646,0,18
1,25,Clarke County,Alabama,1025,< 18,2751,32,23,2816,3,129
1,27,Clay County,Alabama,1027,18-44,3089,14,11,561,0,141
1,27,Clay County,Alabama,1027,45-64,3223,24,9,530,0,87
1,27,Clay County,Alabama,1027,65-74,1303,12,2,187,0,23
1,27,Clay County,Alabama,1027,75+,1085,7,0,123,0,10
1,27,Clay County,Alabama,1027,< 18,2346,15,10,467,0,139
1,29,Cleburne County,Alabama,1029,18-44,4044,25,13,122,8,124
1,29,Cleburne County,Alabama,1029,45-64,3919,13,8,116,2,70
1,29,Cleburne County,Alabama,1029,65-74,1605,10,4,56,0,14
1,29,Cleburne County,Alabama,1029,75+,1168,6,4,41,0,9
1,29,Cleburne County,Alabama,1029,< 18,3498,20,4,106,1,155
1,31,Coffee County,Alabama,1031,18-44,12030,246,298,3120,103,1548
1,31,Coffee County,Alabama,1031,45-64,10434,202,226,2348,28,565
1,31,Coffee County,Alabama,1031,65-74,4130,81,83,816,4,120
1,31,Coffee County,Alabama,1031,75+,3058,38,62,421,2,57
1,31,Coffee County,Alabama,1031,< 18,9716,165,180,2487,69,1645
1,33,Colbert County,Alabama,1033,18-44,12986,131,117,2882,11,523
1,33,Colbert County,Alabama,1033,45-64,12261,93,85,2326,9,227
1,33,Colbert County,Alabama,1033,65-74,5072,41,34,932,0,29
1,33,Colbert County,Alabama,1033,75+,4088,33,12,595,2,34
1,33,Colbert County,Alabama,1033,< 18,9731,65,75,2140,19,652
1,35,Conecuh County,Alabama,1035,18-44,1565,14,7,1678,1,112
1,35,Conecuh County,Alabama,1035,45-64,1840,17,9,1515,2,39
1,35,Conecuh County,Alabama,1035,65-74,921,14,4,603,0,4
1,35,Conecuh County,Alabama,1035,75+,791,4,2,398,0,5
1,35,Conecuh County,Alabama,1035,< 18,1222,14,4,1486,1,104
1,37,Coosa County,Alabama,1037,18-44,1793,19,6,931,5,92
1,37,Coosa County,Alabama,1037,45-64,2296,28,7,1132,6,52
1,37,Coosa County,Alabama,1037,65-74,1108,5,2,318,0,15
1,37,Coosa County,Alabama,1037,75+,755,3,0,268,0,14
1,37,Coosa County,Alabama,1037,< 18,1215,9,0,660,7,97
1,39,Covington County,Alabama,1039,18-44,8453,77,53,1526,1,202
1,39,Covington County,Alabama,1039,45-64,8722,70,64,1177,3,137
1,39,Covington County,Alabama,1039,65-74,3889,33,6,361,0,34
1,39,Covington County,Alabama,1039,75+,3132,17,8,275,0,39
1,39,Covington County,Alabama,1039,< 18,7073,59,41,1325,0,235
1,41,Crenshaw County,Alabama,1041,18-44,2805,28,63,1019,2,75
1,41,Crenshaw County,Alabama,1041,45-64,2771,22,38,904,2,49
1,41,Crenshaw County,Alabama,1041,65-74,1241,10,12,327,0,10
1,41,Crenshaw County,Alabama,1041,75+,806,5,0,202,0,16
1,41,Crenshaw County,Alabama,1041,< 18,2439,22,42,792,2,170
1,43,Cullman County,Alabama,1043,18-44,24271,162,204,423,30,1331
1,43,Cullman County,Alabama,1043,45-64,21368,159,96,233,15,545
1,43,Cullman County,Alabama,1043,65-74,8808,69,31,83,0,75
1,43,Cullman County,Alabama,1043,75+,6222,28,22,36,3,67
1,43,Cullman County,Alabama,1043,< 18,19316,121,208,341,24,1681
1,45,Dale County,Alabama,1045,18-44,11548,109,240,3702,41,1367
1,45,Dale County,Alabama,1045,45-64,9415,114,146,2468,13,505
1,45,Dale County,Alabama,1045,65-74,3816,47,81,776,8,114
1,45,Dale County,Alabama,1045,75+,2991,31,71,356,3,73
1,45,Dale County,Alabama,1045,< 18,8349,91,157,2960,39,1191
1,47,Dallas County,Alabama,1047,18-44,2524,31,81,8388,7,120
1,47,Dallas County,Alabama,1047,45-64,3118,29,68,6908,6,82
1,47,Dallas County,Alabama,1047,65-74,1685,12,20,2401,1,28
1,47,Dallas County,Alabama,1047,75+,1252,15,10,1488,0,16
1,47,Dallas County,Alabama,1047,< 18,2051,24,44,7809,3,180
1,49,DeKalb County,Alabama,1049,18-44,19551,534,159,442,199,3811
1,49,DeKalb County,Alabama,1049,45-64,17587,363,78,347,84,1468
1,49,DeKalb County,Alabama,1049,65-74,7058,95,13,97,7,136
1,49,DeKalb County,Alabama,1049,75+,4757,32,5,67,1,53
1,49,DeKalb County,Alabama,1049,< 18,17231,425,113,372,166,5127
1,51,Elmore County,Alabama,1051,18-44,19380,161,237,7256,35,1013
1,51,Elmore County,Alabama,1051,45-64,17371,104,151,4209,18,375
1,51,Elmore County,Alabama,1051,65-74,6482,42,48,900,7,55
1,51,Elmore County,Alabama,1051,75+,4263,21,25,503,4,46
1,51,Elmore County,Alabama,1051,< 18,14304,97,120,4702,31,978
1,53,Escambia County,Alabama,1053,18-44,6525,463,40,4390,7,329
1,53,Escambia County,Alabama,1053,45-64,6237,372,35,2827,6,163
1,53,Escambia County,Alabama,1053,65-74,2749,128,10,863,1,35
1,53,Escambia County,Alabama,1053,75+,2101,72,2,616,0,18
1,53,Escambia County,Alabama,1053,< 18,5180,388,25,2943,9,362
1,55,Etowah County,Alabama,1055,18-44,24075,196,338,5617,138,1469
1,55,Etowah County,Alabama,1055,45-64,23088,174,234,4114,61,647
1,55,Etowah County,Alabama,1055,65-74,10056,54,52,1356,5,92
1,55,Etowah County,Alabama,1055,75+,7052,40,24,682,1,52
1,55,Etowah County,Alabama,1055,< 18,18525,160,204,4325,113,1856
1,57,Fayette County,Alabama,1057,18-44,3995,16,9,579,0,109
1,57,Fayette County,Alabama,1057,45-64,3892,21,10,545,0,54
1,57,Fayette County,Alabama,1057,65-74,1735,17,5,213,0,15
1,57,Fayette County,Alabama,1057,75+,1320,11,3,137,0,6
1,57,Fayette County,Alabama,1057,< 18,3134,12,45,496,0,113
1,59,Franklin County,Alabama,1059,18-44,8654,202,40,520,44,2178
1,59,Franklin County,Alabama,1059,45-64,7486,97,21,372,14,886
1,59,Franklin County,Alabama,1059,65-74,2810,19,9,132,1,100
1,59,Franklin County,Alabama,1059,75+,2157,10,3,96,0,48
1,59,Franklin County,Alabama,1059,< 18,7631,157,34,307,19,2355
1,61,Geneva County,Alabama,1061,18-44,6319,72,26,778,6,361
1,61,Geneva County,Alabama,1061,45-64,6463,88,30,678,3,175
1,61,Geneva County,Alabama,1061,65-74,2779,34,9,237,0,46
1,61,Geneva County,Alabama,1061,75+,2038,22,7,164,0,27
1,61,Geneva County,Alabama,1061,< 18,5352,54,18,634,10,455
1,63,Greene County,Alabama,1063,18-44,299,7,7,1920,0,44
1,63,Greene County,Alabama,1063,45-64,498,11,7,1633,0,26
1,63,Greene County,Alabama,1063,65-74,263,1,0,803,0,5
1,63,Greene County,Alabama,1063,75+,220,2,1,540,0,4
1,63,Greene County,Alabama,1063,< 18,239,6,7,1701,0,58
1,65,Hale County,Alabama,1065,18-44,1580,13,9,2675,0,72
1,65,Hale County,Alabama,1065,45-64,1622,9,15,2177,1,26
1,65,Hale County,Alabama,1065,65-74,830,2,2,794,0,9
1,65,Hale County,Alabama,1065,75+,590,6,4,588,0,7
1,65,Hale County,Alabama,1065,< 18,1366,7,12,2327,1,86
1,67,Henry County,Alabama,1067,18-44,3286,19,20,1374,1,174
1,67,Henry County,Alabama,1067,45-64,3326,23,18,1257,0,94
1,67,Henry County,Alabama,1067,65-74,1776,15,5,551,1,9
1,67,Henry County,Alabama,1067,75+,1202,4,3,326,0,21
1,67,Henry County,Alabama,1067,< 18,2690,24,18,1015,2,162
1,69,Houston County,Alabama,1069,18-44,21169,169,435,9946,41,1347
1,69,Houston County,Alabama,1069,45-64,19971,178,289,6639,15,583
1,69,Houston County,Alabama,1069,65-74,8625,69,88,2036,4,128
1,69,Houston County,Alabama,1069,75+,6374,33,46,1195,2,97
1,69,Houston County,Alabama,1069,< 18,16185,117,252,8675,37,1446
1,71,Jackson County,Alabama,1071,18-44,13401,321,118,564,29,540
1,71,Jackson County,Alabama,1071,45-64,13458,261,80,505,15,251
1,71,Jackson County,Alabama,1071,65-74,5681,99,13,179,1,35
1,71,Jackson County,Alabama,1071,75+,4071,35,14,118,1,29
1,71,Jackson County,Alabama,1071,< 18,10604,154,78,489,11,673
1,73,Jefferson County,Alabama,1073,18-44,113773,770,5059,98785,205,9834
1,73,Jefferson County,Alabama,1073,45-64,90840,430,2849,71696,43,3820
1,73,Jefferson County,Alabama,1073,65-74,36725,160,670,23714,9,525
1,73,Jefferson County,Alabama,1073,75+,29438,107,271,13000,5,340
1,73,Jefferson County,Alabama,1073,< 18,79681,425,2827,79306,114,11727
1,75,Lamar County,Alabama,1075,18-44,3259,10,5,439,0,83
1,75,Lamar County,Alabama,1075,45-64,3331,16,5,442,1,53
1,75,Lamar County,Alabama,1075,65-74,1489,3,3,146,0,6
1,75,Lamar County,Alabama,1075,75+,1228,4,0,101,0,14
1,75,Lamar County,Alabama,1075,< 18,2777,7,1,338,1,78
1,77,Lauderdale County,Alabama,1077,18-44,24337,157,323,3292,25,960
1,77,Lauderdale County,Alabama,1077,45-64,21701,110,157,2170,9,421
1,77,Lauderdale County,Alabama,1077,65-74,9658,41,41,762,3,73
1,77,Lauderdale County,Alabama,1077,75+,7431,23,23,442,3,55
1,77,Lauderdale County,Alabama,1077,< 18,17231,86,164,2632,12,1135
1,79,Lawrence County,Alabama,1079,18-44,7281,713,34,1006,4,252
1,79,Lawrence County,Alabama,1079,45-64,7590,519,20,1114,2,107
1,79,Lawrence County,Alabama,1079,65-74,2912,148,7,449,1,14
1,79,Lawrence County,Alabama,1079,75+,2072,59,1,273,0,17
1,79,Lawrence County,Alabama,1079,< 18,5917,474,15,764,0,344
1,81,Lee County,Alabama,1081,18-44,45933,261,3089,14587,70,2635
1,81,Lee County,Alabama,1081,45-64,25741,140,1588,9191,38,963
1,81,Lee County,Alabama,1081,65-74,9340,38,201,2489,6,162
1,81,Lee County,Alabama,1081,75+,5928,21,111,1226,2,100
1,81,Lee County,Alabama,1081,< 18,28748,151,1887,10359,32,2304
1,83,Limestone County,Alabama,1083,18-44,24243,294,551,5017,74,2202
1,83,Limestone County,Alabama,1083,45-64,22148,218,407,3899,19,790
1,83,Limestone County,Alabama,1083,65-74,7688,62,83,905,4,120
1,83,Limestone County,Alabama,1083,75+,5191,32,27,474,1,67
1,83,Limestone County,Alabama,1083,< 18,18786,189,467,3025,87,2731
1,85,Lowndes County,Alabama,1085,18-44,597,14,18,2238,4,69
1,85,Lowndes County,Alabama,1085,45-64,781,12,11,1957,0,36
1,85,Lowndes County,Alabama,1085,65-74,380,2,3,669,0,9
1,85,Lowndes County,Alabama,1085,75+,317,1,3,485,0,3
1,85,Lowndes County,Alabama,1085,< 18,510,8,9,1887,0,56
1,87,Macon County,Alabama,1087,18-44,852,8,46,4933,1,119
1,87,Macon County,Alabama,1087,45-64,954,22,27,3506,2,53
1,87,Macon County,Alabama,1087,65-74,451,8,3,1787,0,19
1,87,Macon County,Alabama,1087,75+,313,1,4,1150,0,18
1,87,Macon County,Alabama,1087,< 18,558,10,32,3510,0,128
1,89,Madison County,Alabama,1089,18-44,77879,1150,3569,34719,159,7041
1,89,Madison County,Alabama,1089,45-64,73870,802,2779,21926,112,3202
1,89,Madison County,Alabama,1089,65-74,24086,234,893,6232,23,558
1,89,Madison County,Alabama,1089,75+,19521,105,419,3152,19,296
