"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","0.014560","0.014520","0.014570","0.014310","307.07M","0.21%"
"Apr 27, 2020","0.014530","0.014300","0.014630","0.014150","358.04M","1.89%"
"Apr 26, 2020","0.014260","0.013950","0.014290","0.013880","248.98M","2.22%"
"Apr 25, 2020","0.013950","0.013940","0.014270","0.013480","559.59M","0.14%"
"Apr 24, 2020","0.013930","0.013620","0.014320","0.013590","509.61M","2.35%"
"Apr 23, 2020","0.013610","0.012980","0.013890","0.012780","523.46M","4.93%"
"Apr 22, 2020","0.012970","0.012480","0.013140","0.012420","276.84M","3.93%"
"Apr 21, 2020","0.012480","0.012400","0.012750","0.012300","256.14M","0.65%"
"Apr 20, 2020","0.012400","0.012900","0.013180","0.012250","402.79M","-3.88%"
"Apr 19, 2020","0.012900","0.013390","0.013420","0.012760","265.61M","-3.66%"
"Apr 18, 2020","0.013390","0.012880","0.013550","0.012860","282.69M","3.88%"
"Apr 17, 2020","0.012890","0.013020","0.013110","0.012720","247.10M","-1.00%"
"Apr 16, 2020","0.013020","0.012170","0.013220","0.011800","520.81M","6.81%"
"Apr 15, 2020","0.012190","0.012450","0.012600","0.012140","212.58M","-2.09%"
"Apr 14, 2020","0.012450","0.012570","0.012790","0.012410","222.03M","-0.95%"
"Apr 13, 2020","0.012570","0.012660","0.012690","0.012040","443.37M","-0.63%"
"Apr 12, 2020","0.012650","0.012510","0.013220","0.012330","317.35M","1.20%"
"Apr 11, 2020","0.012500","0.012480","0.012820","0.012300","308.67M","0.16%"
"Apr 10, 2020","0.012480","0.013440","0.013510","0.012030","501.28M","-7.21%"
"Apr 09, 2020","0.013450","0.013750","0.013830","0.013210","240.77M","-2.18%"
"Apr 08, 2020","0.013750","0.013300","0.013810","0.013210","388.87M","3.38%"
"Apr 07, 2020","0.013300","0.013750","0.014070","0.013110","399.21M","-3.34%"
"Apr 06, 2020","0.013760","0.012570","0.013790","0.012570","503.09M","9.47%"
"Apr 05, 2020","0.012570","0.011960","0.012800","0.011860","455.66M","5.10%"
"Apr 04, 2020","0.011960","0.011940","0.012220","0.011720","265.19M","0.17%"
"Apr 03, 2020","0.011940","0.011960","0.012190","0.011750","236.67M","-0.25%"
"Apr 02, 2020","0.011970","0.011610","0.012580","0.011490","402.75M","3.28%"
"Apr 01, 2020","0.011590","0.011590","0.011650","0.011120","236.64M","0.17%"
"Mar 31, 2020","0.011570","0.011450","0.011760","0.011350","198.13M","1.05%"
"Mar 30, 2020","0.011450","0.010650","0.011800","0.010640","283.09M","7.41%"
"Mar 29, 2020","0.010660","0.011400","0.011450","0.010660","246.88M","-6.49%"
"Mar 28, 2020","0.011400","0.011160","0.011500","0.010760","530.35M","1.79%"
"Mar 27, 2020","0.011200","0.011950","0.012100","0.011040","384.91M","-6.20%"
"Mar 26, 2020","0.011940","0.011390","0.012010","0.011250","271.00M","4.83%"
"Mar 25, 2020","0.011390","0.011480","0.011760","0.011050","310.77M","-1.04%"
"Mar 24, 2020","0.011510","0.011380","0.011690","0.011140","416.70M","1.41%"
"Mar 23, 2020","0.011350","0.010260","0.011490","0.010150","689.28M","10.19%"
"Mar 22, 2020","0.010300","0.011210","0.011610","0.010180","527.86M","-8.20%"
"Mar 21, 2020","0.011220","0.011290","0.011630","0.010690","693.85M","-0.44%"
"Mar 20, 2020","0.011270","0.011610","0.012770","0.010230","1.17B","-3.01%"
"Mar 19, 2020","0.011620","0.010220","0.012170","0.010080","950.62M","13.70%"
"Mar 18, 2020","0.010220","0.010030","0.010230","0.009630","952.76M","1.89%"
