"Date","Price","Open","High","Low","Change %"
"Apr 28, 2020","0.9247","0.9238","0.9247","0.9228","0.14%"
"Apr 27, 2020","0.9233","0.9252","0.9252","0.9206","-0.08%"
"Apr 26, 2020","0.9240","0.9252","0.9252","0.9237","0.00%"
"Apr 24, 2020","0.9240","0.9278","0.9323","0.9233","-0.40%"
"Apr 23, 2020","0.9278","0.9239","0.9298","0.9219","0.42%"
"Apr 22, 2020","0.9240","0.9211","0.9258","0.9186","0.33%"
"Apr 21, 2020","0.9209","0.9207","0.9246","0.9190","0.04%"
"Apr 20, 2020","0.9205","0.9196","0.9225","0.9176","0.10%"
"Apr 17, 2020","0.9197","0.9230","0.9250","0.9180","-0.34%"
"Apr 16, 2020","0.9227","0.9165","0.9245","0.9163","0.67%"
"Apr 15, 2020","0.9166","0.9107","0.9211","0.9098","0.66%"
"Apr 14, 2020","0.9107","0.9161","0.9171","0.9101","-0.61%"
"Apr 13, 2020","0.9162","0.9140","0.9181","0.9117","0.20%"
"Apr 10, 2020","0.9144","0.9149","0.9159","0.9130","-0.07%"
"Apr 09, 2020","0.9150","0.9211","0.9225","0.9130","-0.65%"
"Apr 08, 2020","0.9209","0.9182","0.9234","0.9172","0.30%"
"Apr 07, 2020","0.9182","0.9265","0.9273","0.9153","-0.90%"
"Apr 06, 2020","0.9265","0.9247","0.9287","0.9229","0.15%"
"Apr 03, 2020","0.9251","0.9209","0.9283","0.9204","0.46%"
"Apr 02, 2020","0.9209","0.9121","0.9241","0.9116","0.98%"
"Apr 01, 2020","0.9121","0.9065","0.9172","0.9058","0.61%"
"Mar 31, 2020","0.9065","0.9053","0.9153","0.9045","0.17%"
"Mar 30, 2020","0.9050","0.8979","0.9083","0.8972","0.84%"
"Mar 27, 2020","0.8975","0.9066","0.9130","0.8971","-1.01%"
"Mar 26, 2020","0.9067","0.9190","0.9200","0.9042","-1.34%"
"Mar 25, 2020","0.9190","0.9269","0.9294","0.9179","-0.85%"
"Mar 24, 2020","0.9269","0.9323","0.9327","0.9183","-0.61%"
"Mar 23, 2020","0.9326","0.9349","0.9402","0.9235","-0.26%"
"Mar 20, 2020","0.9350","0.9353","0.9401","0.9232","-0.03%"
"Mar 19, 2020","0.9353","0.9161","0.9385","0.9105","2.35%"
"Mar 18, 2020","0.9138","0.9078","0.9258","0.9054","0.49%"
"Mar 17, 2020","0.9093","0.8942","0.9127","0.8935","1.69%"
"Mar 16, 2020","0.8942","0.9022","0.9053","0.8900","-0.69%"
"Mar 13, 2020","0.9004","0.8940","0.9047","0.8910","0.70%"
"Mar 12, 2020","0.8941","0.8873","0.9046","0.8823","0.77%"
"Mar 11, 2020","0.8873","0.8865","0.8884","0.8798","0.09%"
"Mar 10, 2020","0.8865","0.8737","0.8869","0.8727","1.50%"
"Mar 09, 2020","0.8734","0.8857","0.8862","0.8700","-1.43%"
"Mar 06, 2020","0.8861","0.8895","0.8919","0.8804","-0.40%"
"Mar 05, 2020","0.8897","0.8980","0.8994","0.8892","-0.92%"
"Mar 04, 2020","0.8980","0.8951","0.9013","0.8939","0.32%"
"Mar 03, 2020","0.8951","0.8982","0.9012","0.8919","-0.35%"
"Mar 02, 2020","0.8982","0.9089","0.9089","0.8940","-0.96%"
"Feb 28, 2020","0.9069","0.9089","0.9132","0.9047","-0.24%"
"Feb 27, 2020","0.9091","0.9188","0.9193","0.9086","-1.09%"
"Feb 26, 2020","0.9191","0.9191","0.9213","0.9166","0.00%"
"Feb 25, 2020","0.9191","0.9213","0.9234","0.9183","-0.24%"
"Feb 24, 2020","0.9213","0.9225","0.9255","0.9198","-0.09%"
"Feb 21, 2020","0.9221","0.9272","0.9274","0.9205","-0.56%"
"Feb 20, 2020","0.9273","0.9254","0.9280","0.9242","0.21%"
"Feb 19, 2020","0.9254","0.9267","0.9276","0.9249","-0.13%"
"Feb 18, 2020","0.9266","0.9226","0.9272","0.9226","0.40%"
"Feb 17, 2020","0.9229","0.9231","0.9241","0.9215","-0.03%"
