"Date","Price","Open","High","Low","Change %"
"Apr 28, 2020","76.404","76.124","76.448","76.124","0.23%"
"Apr 27, 2020","76.229","76.270","76.353","76.019","-0.05%"
"Apr 24, 2020","76.270","75.962","76.481","75.817","0.49%"
"Apr 23, 2020","75.895","76.465","76.465","75.824","-0.67%"
"Apr 22, 2020","76.410","76.930","77.010","76.410","-0.73%"
"Apr 21, 2020","76.975","76.590","77.004","76.583","0.52%"
"Apr 20, 2020","76.575","76.550","76.680","76.301","0.03%"
"Apr 17, 2020","76.550","76.821","76.821","76.242","-0.33%"
"Apr 16, 2020","76.805","76.625","76.914","76.550","0.32%"
"Apr 15, 2020","76.563","76.036","76.654","75.934","0.72%"
"Apr 14, 2020","76.015","76.318","76.378","76.015","-0.31%"
"Apr 13, 2020","76.249","75.879","76.457","75.879","0.49%"
"Apr 10, 2020","75.879","75.895","75.935","75.845","-0.55%"
"Apr 09, 2020","76.300","76.100","76.555","76.016","0.47%"
"Apr 08, 2020","75.945","75.625","76.410","75.625","0.40%"
"Apr 07, 2020","75.645","75.965","75.993","75.521","-0.43%"
"Apr 06, 2020","75.975","76.240","76.256","75.890","-0.35%"
"Apr 03, 2020","76.241","75.965","76.314","75.783","-0.21%"
"Apr 02, 2020","76.400","76.386","76.430","76.345","-0.01%"
"Apr 01, 2020","76.404","75.320","76.422","75.320","1.41%"
"Mar 31, 2020","75.343","75.535","75.680","75.280","-0.09%"
"Mar 30, 2020","75.410","75.145","75.675","75.096","-0.08%"
"Mar 27, 2020","75.472","74.625","75.533","74.365","0.78%"
"Mar 26, 2020","74.890","75.885","75.965","74.890","-1.95%"
"Mar 25, 2020","76.375","76.375","76.375","76.375","-0.00%"
"Mar 24, 2020","76.379","76.090","76.385","75.946","0.06%"
"Mar 23, 2020","76.335","75.370","76.335","75.370","1.24%"
"Mar 20, 2020","75.398","74.825","75.398","74.710","0.82%"
"Mar 19, 2020","74.786","74.875","75.312","74.668","0.32%"
"Mar 18, 2020","74.550","73.974","74.550","73.924","0.66%"
"Mar 17, 2020","74.062","74.073","74.315","73.858","0.08%"
"Mar 16, 2020","74.003","74.006","74.359","73.999","0.22%"
"Mar 13, 2020","73.840","74.561","74.561","73.732","-0.99%"
"Mar 12, 2020","74.576","74.134","74.579","74.074","1.21%"
"Mar 11, 2020","73.682","73.792","74.015","73.532","-0.63%"
"Mar 10, 2020","74.150","74.248","74.248","74.150","-0.06%"
"Mar 09, 2020","74.195","73.975","74.254","73.850","0.26%"
"Mar 06, 2020","74.004","73.873","74.073","73.529","0.68%"
"Mar 05, 2020","73.507","73.517","73.564","73.044","-0.04%"
"Mar 04, 2020","73.540","73.060","73.640","72.910","0.67%"
"Mar 03, 2020","73.050","72.480","73.397","72.440","0.23%"
"Mar 02, 2020","72.882","72.520","72.954","72.028","0.47%"
"Feb 28, 2020","72.539","71.755","72.574","71.755","1.23%"
"Feb 27, 2020","71.655","71.645","71.704","71.545","0.10%"
"Feb 26, 2020","71.580","71.833","71.873","71.532","-0.33%"
"Feb 25, 2020","71.820","71.870","71.920","71.611","-0.16%"
"Feb 24, 2020","71.935","71.915","72.015","71.775","0.08%"
"Feb 21, 2020","71.880","71.665","72.056","71.665","0.28%"
"Feb 20, 2020","71.680","71.735","71.820","71.530","0.11%"
"Feb 19, 2020","71.600","71.573","71.600","71.452","0.02%"
"Feb 18, 2020","71.585","71.415","71.611","71.375","0.34%"
"Feb 17, 2020","71.340","71.430","71.507","71.260","-0.26%"
"Feb 14, 2020","71.528","71.294","71.597","71.272","0.28%"
"Feb 13, 2020","71.330","71.360","71.511","71.254","0.03%"
"Feb 12, 2020","71.306","71.212","71.391","71.212","0.03%"
"Feb 11, 2020","71.285","71.235","71.330","71.179","-0.01%"
"Feb 10, 2020","71.290","71.400","71.457","71.285","-0.31%"
"Feb 07, 2020","71.515","71.260","71.538","71.213","0.41%"
"Feb 06, 2020","71.225","71.181","71.300","71.106","0.05%"
"Feb 05, 2020","71.190","71.110","71.300","71.110","0.11%"
"Feb 04, 2020","71.115","71.215","71.297","71.090","-0.29%"
"Feb 03, 2020","71.324","71.523","71.653","71.268","-0.32%"
"Jan 31, 2020","71.555","71.575","71.578","71.294","0.01%"
"Jan 30, 2020","71.550","71.420","71.660","71.390","0.34%"
"Jan 29, 2020","71.310","71.240","71.411","71.165","0.15%"
"Jan 28, 2020","71.200","71.432","71.432","71.200","-0.35%"
"Jan 27, 2020","71.450","71.475","71.520","71.373","0.17%"
"Jan 24, 2020","71.330","71.340","71.371","71.220","-0.10%"
"Jan 23, 2020","71.400","71.190","71.465","71.169","0.45%"
"Jan 22, 2020","71.080","71.180","71.265","71.076","-0.13%"
"Jan 21, 2020","71.170","71.190","71.250","71.121","0.18%"
"Jan 20, 2020","71.040","71.070","71.160","71.010","-0.05%"
"Jan 17, 2020","71.079","70.953","71.099","70.933","0.14%"
"Jan 16, 2020","70.978","70.775","71.007","70.775","0.36%"
"Jan 15, 2020","70.720","71.000","71.023","70.682","-0.18%"
"Jan 14, 2020","70.850","70.720","70.975","70.720","0.20%"
"Jan 13, 2020","70.710","70.805","70.945","70.710","-0.35%"
"Jan 10, 2020","70.960","71.240","71.260","70.848","-0.35%"
"Jan 09, 2020","71.210","71.510","71.544","71.134","-0.42%"
"Jan 08, 2020","71.510","71.954","72.114","71.466","-0.47%"
"Jan 07, 2020","71.845","71.765","71.923","71.670","-0.03%"
"Jan 06, 2020","71.867","72.011","72.123","71.834","0.14%"
"Jan 03, 2020","71.770","71.610","71.844","71.520","0.59%"
"Jan 02, 2020","71.350","71.235","71.408","71.235","0.17%"
"Jan 01, 2020","71.228","71.365","71.377","71.225","-0.18%"
