"Date","Price","Open","High","Low","Change %"
"Apr 28, 2020","107.25","107.29","107.35","107.18","0.01%"
"Apr 27, 2020","107.24","107.49","107.64","106.99","-0.26%"
"Apr 26, 2020","107.51","107.56","107.63","107.40","0.00%"
"Apr 24, 2020","107.51","107.58","107.76","107.37","-0.07%"
"Apr 23, 2020","107.60","107.76","108.04","107.34","-0.14%"
"Apr 22, 2020","107.75","107.82","107.94","107.51","-0.03%"
"Apr 21, 2020","107.78","107.63","107.90","107.28","0.14%"
"Apr 20, 2020","107.63","107.57","107.96","107.49","0.09%"
"Apr 17, 2020","107.53","107.96","108.08","107.30","-0.40%"
"Apr 16, 2020","107.96","107.49","108.10","107.17","0.44%"
"Apr 15, 2020","107.49","107.21","107.86","106.93","0.25%"
"Apr 14, 2020","107.21","107.78","107.81","106.97","-0.52%"
"Apr 13, 2020","107.78","108.54","108.54","107.50","-0.65%"
"Apr 10, 2020","108.47","108.54","108.61","108.32","0.00%"
"Apr 09, 2020","108.47","108.82","109.07","108.21","-0.32%"
"Apr 08, 2020","108.82","108.71","109.11","108.50","0.10%"
"Apr 07, 2020","108.71","109.24","109.29","108.67","-0.47%"
"Apr 06, 2020","109.22","108.43","109.39","108.35","0.70%"
"Apr 03, 2020","108.46","107.92","108.69","107.80","0.51%"
"Apr 02, 2020","107.92","107.17","108.11","107.01","0.70%"
"Apr 01, 2020","107.17","107.54","107.95","106.91","-0.35%"
"Mar 31, 2020","107.54","107.76","108.74","107.46","-0.26%"
"Mar 30, 2020","107.82","107.89","108.31","107.11","-0.07%"
"Mar 27, 2020","107.90","109.60","109.71","107.75","-1.54%"
"Mar 26, 2020","109.60","111.21","111.32","109.21","-1.45%"
"Mar 25, 2020","111.21","111.21","111.69","110.75","-0.02%"
"Mar 24, 2020","111.22","111.21","111.72","110.08","0.01%"
"Mar 23, 2020","111.21","111.04","111.61","109.67","0.36%"
"Mar 20, 2020","110.82","110.71","111.52","109.31","0.09%"
"Mar 19, 2020","110.71","108.07","110.96","107.85","2.16%"
"Mar 18, 2020","108.37","107.36","108.65","106.76","0.63%"
"Mar 17, 2020","107.69","105.86","107.88","105.86","1.73%"
"Mar 16, 2020","105.86","107.92","107.92","105.14","-1.91%"
"Mar 13, 2020","107.92","104.62","108.50","104.50","3.13%"
"Mar 12, 2020","104.64","104.56","106.09","103.09","0.09%"
"Mar 11, 2020","104.55","105.66","105.69","104.11","-1.03%"
"Mar 10, 2020","105.64","102.38","105.92","102.00","3.20%"
"Mar 09, 2020","102.36","104.91","104.92","101.19","-2.80%"
"Mar 06, 2020","105.31","106.17","106.36","105.00","-0.81%"
"Mar 05, 2020","106.17","107.53","107.73","105.97","-1.26%"
"Mar 04, 2020","107.53","107.14","107.69","106.86","0.36%"
"Mar 03, 2020","107.14","108.31","108.55","106.94","-1.08%"
"Mar 02, 2020","108.31","107.39","108.58","106.98","0.21%"
"Feb 28, 2020","108.08","109.61","109.69","107.50","-1.38%"
"Feb 27, 2020","109.59","110.42","110.47","109.58","-0.75%"
"Feb 26, 2020","110.42","110.19","110.70","110.12","0.20%"
"Feb 25, 2020","110.20","110.73","111.05","109.89","-0.47%"
"Feb 24, 2020","110.72","111.61","111.69","110.33","-0.77%"
"Feb 21, 2020","111.58","112.11","112.19","111.47","-0.48%"
"Feb 20, 2020","112.12","111.38","112.22","111.11","0.68%"
"Feb 19, 2020","111.36","109.88","111.59","109.84","1.35%"
"Feb 18, 2020","109.88","109.88","109.95","109.66","-0.01%"
"Feb 17, 2020","109.89","109.78","109.97","109.72","0.13%"
"Feb 14, 2020","109.75","109.81","109.92","109.69","-0.05%"
"Feb 13, 2020","109.81","110.09","110.09","109.61","-0.25%"
"Feb 12, 2020","110.08","109.78","110.14","109.77","0.27%"
"Feb 11, 2020","109.78","109.78","109.97","109.72","0.03%"
"Feb 10, 2020","109.75","109.86","109.89","109.56","0.02%"
"Feb 07, 2020","109.73","110.00","110.03","109.53","-0.25%"
"Feb 06, 2020","110.00","109.81","110.00","109.72","0.17%"
"Feb 05, 2020","109.81","109.53","109.86","109.31","0.26%"
"Feb 04, 2020","109.53","108.69","109.56","108.56","0.77%"
"Feb 03, 2020","108.69","108.42","108.81","108.33","0.28%"
"Jan 31, 2020","108.39","108.97","109.14","108.31","-0.53%"
"Jan 30, 2020","108.97","109.02","109.08","108.58","-0.03%"
"Jan 29, 2020","109.00","109.16","109.28","108.97","-0.13%"
"Jan 28, 2020","109.14","108.89","109.20","108.75","0.23%"
"Jan 27, 2020","108.89","109.05","109.14","108.72","-0.36%"
"Jan 24, 2020","109.28","109.48","109.66","109.17","-0.19%"
"Jan 23, 2020","109.49","109.84","109.87","109.26","-0.32%"
"Jan 22, 2020","109.84","109.86","110.10","109.82","-0.04%"
"Jan 21, 2020","109.88","110.19","110.22","109.77","-0.28%"
"Jan 20, 2020","110.19","110.14","110.22","110.03","0.03%"
"Jan 17, 2020","110.16","110.14","110.30","110.05","0.00%"
"Jan 16, 2020","110.16","109.89","110.19","109.86","0.25%"
"Jan 15, 2020","109.89","110.00","110.03","109.78","-0.08%"
"Jan 14, 2020","109.98","109.94","110.22","109.86","0.04%"
"Jan 13, 2020","109.94","109.49","109.95","109.45","0.43%"
"Jan 10, 2020","109.47","109.52","109.70","109.44","-0.05%"
"Jan 09, 2020","109.52","109.12","109.58","109.01","0.35%"
"Jan 08, 2020","109.14","108.42","109.25","107.64","0.65%"
"Jan 07, 2020","108.44","108.38","108.64","108.27","0.06%"
"Jan 06, 2020","108.38","108.00","108.52","107.77","0.27%"
"Jan 03, 2020","108.09","108.56","108.64","107.83","-0.45%"
"Jan 02, 2020","108.58","108.75","108.86","108.20","-0.11%"
"Jan 01, 2020","108.70","108.61","108.75","108.59","0.07%"
