"Date","Price","Open","High","Low","Change %"
"Apr 27, 2020","74.4935","74.5651","74.7972","74.0643","-0.10%"
"Apr 24, 2020","74.5651","74.7727","74.8823","73.9829","-0.28%"
"Apr 23, 2020","74.7727","75.9065","75.9072","74.2496","-1.49%"
"Apr 22, 2020","75.9065","77.0694","77.5321","75.8369","-1.51%"
"Apr 21, 2020","77.0694","75.5185","77.6155","75.5185","2.05%"
"Apr 20, 2020","75.5185","73.9580","75.5185","73.9500","2.11%"
"Apr 17, 2020","73.9580","74.1841","74.4009","73.6197","-0.30%"
"Apr 16, 2020","74.1841","74.8437","75.0256","73.7651","-0.88%"
"Apr 15, 2020","74.8437","72.9953","75.3448","72.9953","2.53%"
"Apr 14, 2020","72.9953","73.6013","73.6100","72.7455","-0.82%"
"Apr 13, 2020","73.6013","73.7523","73.7590","73.3943","-0.20%"
"Apr 10, 2020","73.7523","74.2565","74.2826","73.1903","-0.68%"
"Apr 09, 2020","74.2565","74.9406","74.9630","72.9216","-0.91%"
"Apr 08, 2020","74.9406","75.5471","75.8866","74.9203","-0.80%"
"Apr 07, 2020","75.5471","76.0059","76.0200","75.1935","-0.60%"
"Apr 06, 2020","76.0059","76.4918","76.6555","75.9389","-0.64%"
"Apr 03, 2020","76.4918","77.2349","77.5790","76.4902","-0.96%"
"Apr 02, 2020","77.2349","78.7310","79.2056","77.2331","-1.90%"
"Apr 01, 2020","78.7310","78.4426","79.3350","78.4426","0.37%"
"Mar 31, 2020","78.4426","79.3378","79.3378","77.7503","-1.13%"
"Mar 30, 2020","79.3378","78.8122","80.3847","78.8122","0.67%"
"Mar 27, 2020","78.8122","77.4751","79.2870","77.4675","1.73%"
"Mar 26, 2020","77.4751","78.2023","79.0233","77.0187","-0.93%"
"Mar 25, 2020","78.2023","78.2965","79.3948","76.9845","-0.12%"
"Mar 24, 2020","78.2965","79.5936","79.6000","78.1878","-1.63%"
"Mar 23, 2020","79.5936","79.9236","81.2429","79.3858","-0.41%"
"Mar 20, 2020","79.9236","79.1566","80.1497","77.4478","0.97%"
"Mar 19, 2020","79.1566","80.8692","81.6615","78.6405","-2.12%"
"Mar 18, 2020","80.8692","75.4362","80.8700","75.4362","7.20%"
"Mar 17, 2020","75.4362","74.6596","75.4751","73.4589","1.04%"
"Mar 16, 2020","74.6596","72.6133","75.3924","72.5975","2.82%"
"Mar 13, 2020","72.6133","74.8742","74.9023","72.0689","-3.02%"
"Mar 12, 2020","74.8742","72.9375","75.4268","72.9121","2.66%"
"Mar 11, 2020","72.9375","71.3747","73.1420","71.1785","2.19%"
"Mar 10, 2020","71.3747","68.5685","72.7925","68.5685","4.09%"
