STATE,COUNTY,STNAME,CTYNAME,AGEGRP,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE
1,1,Alabama,Autauga County,0-4,1240,1167,354,359,5,6,29,19,3,4,90,74
1,1,Alabama,Autauga County,5-9,1296,1194,361,340,8,9,14,23,2,2,92,64
1,1,Alabama,Autauga County,10-14,1467,1411,432,391,4,7,15,31,4,4,86,76
1,1,Alabama,Autauga County,15-19,1395,1385,426,383,10,4,26,11,4,3,68,72
1,1,Alabama,Autauga County,20-24,1168,1155,382,336,5,7,45,13,1,1,50,51
1,1,Alabama,Autauga County,25-29,1343,1356,411,445,10,11,17,29,4,4,83,55
1,1,Alabama,Autauga County,30-34,1258,1348,350,399,4,3,25,30,2,4,60,54
1,1,Alabama,Autauga County,35-39,1346,1344,363,445,8,9,20,39,4,1,84,69
1,1,Alabama,Autauga County,40-44,1320,1396,343,430,3,10,21,43,3,1,60,53
1,1,Alabama,Autauga County,45-49,1515,1552,339,445,9,7,28,32,1,3,74,43
1,1,Alabama,Autauga County,50-54,1491,1520,312,386,12,14,17,28,2,1,29,59
1,1,Alabama,Autauga County,55-59,1594,1568,318,356,15,11,17,23,1,0,26,35
1,1,Alabama,Autauga County,60-64,1187,1375,277,328,9,7,10,17,0,0,18,20
1,1,Alabama,Autauga County,65-69,1026,1062,183,266,8,9,4,11,1,1,17,13
1,1,Alabama,Autauga County,70-74,871,1079,128,181,3,16,7,8,0,0,5,22
1,1,Alabama,Autauga County,75-79,622,872,86,124,7,6,3,7,1,0,9,15
1,1,Alabama,Autauga County,80-84,423,561,58,72,0,6,3,12,0,0,5,6
1,1,Alabama,Autauga County,85,297,456,30,76,1,4,0,4,0,0,4,8
1,3,Alabama,Baldwin County,0-4,5051,4793,642,640,57,44,62,51,9,5,595,522
1,3,Alabama,Baldwin County,5-9,5441,5228,667,666,47,55,81,58,4,3,563,547
1,3,Alabama,Baldwin County,10-14,5958,5716,761,719,38,51,59,170,4,1,544,483
1,3,Alabama,Baldwin County,15-19,5366,5235,728,765,55,44,62,290,3,7,368,405
1,3,Alabama,Baldwin County,20-24,4596,4447,742,703,46,51,126,136,2,5,310,267
1,3,Alabama,Baldwin County,25-29,5062,5331,846,723,54,46,80,93,10,10,372,296
1,3,Alabama,Baldwin County,30-34,5056,5239,656,663,70,47,65,73,9,3,432,375
1,3,Alabama,Baldwin County,35-39,5452,5879,636,698,66,48,83,131,7,4,417,341
1,3,Alabama,Baldwin County,40-44,5521,5753,543,589,59,50,59,133,5,3,378,365
1,3,Alabama,Baldwin County,45-49,6267,6577,559,631,56,38,66,102,5,6,328,295
1,3,Alabama,Baldwin County,50-54,6123,6527,517,647,51,73,59,88,5,8,316,242
1,3,Alabama,Baldwin County,55-59,6609,7387,618,726,74,64,37,68,2,5,210,210
1,3,Alabama,Baldwin County,60-64,6622,7525,520,648,76,51,23,53,1,5,186,181
1,3,Alabama,Baldwin County,65-69,6089,7011,414,484,38,48,34,46,2,1,118,116
1,3,Alabama,Baldwin County,70-74,5619,6078,232,301,53,35,20,35,1,6,98,77
1,3,Alabama,Baldwin County,75-79,3696,4235,180,210,27,29,11,21,0,1,31,44
1,3,Alabama,Baldwin County,80-84,2264,2496,80,133,15,14,3,19,4,0,21,27
1,3,Alabama,Baldwin County,85,1679,2373,59,146,4,10,3,8,0,0,15,36
1,5,Alabama,Barbour County,0-4,257,252,369,351,6,3,1,2,1,0,53,52
1,5,Alabama,Barbour County,5-9,288,319,399,385,3,0,4,3,1,1,64,87
1,5,Alabama,Barbour County,10-14,327,337,418,363,11,8,5,6,3,0,60,65
1,5,Alabama,Barbour County,15-19,319,298,419,381,5,2,3,1,1,2,40,32
1,5,Alabama,Barbour County,20-24,329,232,516,353,3,4,2,0,2,3,21,19
1,5,Alabama,Barbour County,25-29,463,252,641,393,8,8,2,1,2,1,56,22
1,5,Alabama,Barbour County,30-34,394,298,569,367,6,4,4,4,8,3,52,45
1,5,Alabama,Barbour County,35-39,423,241,460,346,13,6,9,8,7,1,58,22
1,5,Alabama,Barbour County,40-44,438,276,416,292,3,6,4,6,1,0,52,37
1,5,Alabama,Barbour County,45-49,484,334,426,348,11,0,3,4,1,1,44,29
1,5,Alabama,Barbour County,50-54,431,392,395,355,7,4,3,2,1,2,27,24
1,5,Alabama,Barbour County,55-59,458,440,350,388,8,8,2,5,0,1,23,12
1,5,Alabama,Barbour County,60-64,438,464,295,311,2,2,4,6,1,0,11,15
1,5,Alabama,Barbour County,65-69,412,453,278,373,5,4,0,4,0,0,9,6
1,5,Alabama,Barbour County,70-74,396,459,205,257,2,3,1,5,0,0,7,3
1,5,Alabama,Barbour County,75-79,287,334,107,167,2,1,3,2,1,0,3,6
1,5,Alabama,Barbour County,80-84,164,221,67,122,0,1,0,0,0,1,1,0
1,5,Alabama,Barbour County,85,102,197,40,120,2,3,2,2,0,0,3,4
1,7,Alabama,Bibb County,0-4,504,482,136,119,2,9,0,0,0,0,37,23
1,7,Alabama,Bibb County,5-9,477,440,104,97,4,5,0,0,1,0,21,19
1,7,Alabama,Bibb County,10-14,562,459,132,135,2,4,2,1,0,1,20,18
1,7,Alabama,Bibb County,15-19,523,470,148,103,5,0,2,1,1,1,11,15
1,7,Alabama,Bibb County,20-24,480,430,275,99,2,1,2,2,2,0,17,10
1,7,Alabama,Bibb County,25-29,594,560,381,159,2,6,3,1,7,0,33,31
1,7,Alabama,Bibb County,30-34,566,517,380,117,2,2,2,0,5,0,42,40
1,7,Alabama,Bibb County,35-39,601,469,298,124,5,3,0,0,2,2,42,11
1,7,Alabama,Bibb County,40-44,564,543,220,92,5,5,2,0,2,0,39,13
1,7,Alabama,Bibb County,45-49,644,571,234,122,3,5,2,11,2,0,20,6
1,7,Alabama,Bibb County,50-54,670,594,172,119,0,3,1,13,0,0,9,11
1,7,Alabama,Bibb County,55-59,627,579,168,136,1,5,0,2,0,0,14,8
1,7,Alabama,Bibb County,60-64,555,574,107,111,1,1,0,1,0,0,6,12
1,7,Alabama,Bibb County,65-69,477,511,86,90,7,0,0,1,0,0,7,26
1,7,Alabama,Bibb County,70-74,392,468,56,65,3,1,2,0,0,0,7,5
1,7,Alabama,Bibb County,75-79,292,359,24,48,4,0,0,0,0,0,4,2
1,7,Alabama,Bibb County,80-84,144,219,18,34,0,0,1,1,0,0,2,1
1,7,Alabama,Bibb County,85,90,204,15,46,0,0,0,0,0,0,4,2
1,9,Alabama,Blount County,0-4,1608,1621,30,32,15,14,6,9,4,2,279,266
1,9,Alabama,Blount County,5-9,1733,1684,37,32,7,11,13,9,1,0,316,315
1,9,Alabama,Blount County,10-14,1820,1866,45,35,10,12,7,7,5,4,304,330
1,9,Alabama,Blount County,15-19,1779,1676,35,42,20,11,5,5,5,3,251,255
1,9,Alabama,Blount County,20-24,1605,1416,35,31,12,13,7,6,5,1,216,179
1,9,Alabama,Blount County,25-29,1734,1729,27,14,6,9,3,4,3,4,223,165
1,9,Alabama,Blount County,30-34,1606,1616,55,18,9,18,5,5,2,4,241,145
1,9,Alabama,Blount County,35-39,1712,1674,34,27,13,20,3,8,2,0,262,197
1,9,Alabama,Blount County,40-44,1669,1755,32,27,13,8,6,6,4,1,239,220
