Country,Mask,Date
Beijing,mandatory,"Feb 10, 2020"
Shanghai,mandatory,"Feb 10, 2020"
Slovakia,mandatory,"March 16, 2020"
Czech Republic,mandatory,"March 18, 2020"
Austria,mandatory,"March 30, 2020"
Bulgaria,mandatory,"March 30, 2020"
Slovenia,mandatory,"March 30, 2020"
Israel,mandatory,"April 1, 2020"
Los Angeles,mandatory,"April 1, 2020"
Germany,recommended,"April 2, 2020"
Japan,mandatory,"April 2, 2020"
New York,mandatory,"April 2, 2020"
Laredo (TX),mandatory,"April 2, 2020"
Riverside County (CA),recommended,"April 2, 2020"
Bosnia,mandatory,"April 2, 2020"
Singapore,recommended,"April 3, 2020"
Alaska,recommended,"April 3, 2020"
India,recommended,"April 3, 2020"
Turkey,mandatory,"April 3, 2020"
US,recommended,"April 4, 2020"
Ukraine,mandatory,"April 4, 2020"
Taiwan*,mandatory,"April 4, 2020"
Lombardy,mandatory,"April 4, 2020"
Indonesia,mandatory,"April 5, 2020"
Douala (Cameroon),mandatory,"April 7, 2020"
Morocco,mandatory,"April 6, 2020"
Odisha (India),mandatory,"April 6, 2020"
Garland County (AR),mandatory,"April 7, 2020"
Key West (FL),mandatory,"April 7, 2020"
