state_county,county_rank,fips,jhu_county_population,poverty_percent_state,unemployment_rate,total_unemployed,median_household_income_perc_of_state,median_household_income,emergency_declation_type,emergency_declaration_date,staffed_beds,licenced_beds,icu_beds,average_ventilator_used_per_hospital,poverty_rate,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20
Delaware_Kent,586,10001,180786.0,13.8,4.1,3239.0,83.9812,54980.0,0,48,414.0,404.0,29.0,4.0,23966.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,3.0,4.0,4.0,0.0,2.0,7.0,7.0,2.0,11.0,14.0,18.0,42.0,19.0,54.0,13.0,16.0,25.0,26.0,7.0,41.0,16.0,7.0,32.0,33.0,0.0,13.0,29.0,44.0,36.0,19.0,21.0,46.0,27.0
Delaware_New Castle,2306,10003,558753.0,11.6,3.7,10938.0,106.2551,69562.0,0,48,1715.0,2094.0,183.0,8.0,62976.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,7.0,2.0,6.0,4.0,5.0,7.0,5.0,27.0,8.0,7.0,19.0,25.0,11.0,15.0,41.0,29.0,19.0,34.0,121.0,36.0,60.0,75.0,65.0,65.0,50.0,56.0,73.0,39.0,28.0,27.0,29.0,97.0,105.0,0.0,24.0,74.0,49.0,37.0,97.0,18.0,95.0,30.0
Delaware_Sussex,1648,10005,234225.0,12.3,3.7,3951.0,91.3758,59821.0,0,48,507.0,567.0,52.0,3.0,27750.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,4.0,6.0,5.0,3.0,1.0,10.0,22.0,7.0,15.0,7.0,13.0,4.0,12.0,8.0,26.0,8.0,51.0,69.0,15.0,42.0,68.0,60.0,87.0,88.0,39.0,20.0,113.0,75.0,0.0,169.0,84.0,178.0,60.0,17.0,96.0,311.0,69.0
District of Columbia_District of Columbia,5784,11001,705749.0,16.1,5.6,22470.0,100.0,82533.0,0,220,3077.0,4098.0,407.0,7.0,107806.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,9.0,31.0,27.0,4.0,18.0,21.0,46.0,44.0,40.0,33.0,38.0,59.0,94.0,91.0,67.0,104.0,145.0,100.0,95.0,114.0,229.0,83.0,137.0,118.0,97.0,80.0,103.0,139.0,153.0,126.0,190.0,127.0,134.0,171.0,108.0,155.0,167.0,171.0,142.0,51.0
Florida_Alachua,291,12001,269043.0,19.8,3.3,4493.0,92.0499,51026.0,0,205,1549.0,2050.0,233.0,7.0,50922.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,3.0,3.0,4.0,4.0,10.0,10.0,1.0,1.0,8.0,4.0,8.0,10.0,4.0,8.0,8.0,3.0,5.0,15.0,6.0,7.0,8.0,8.0,5.0,6.0,17.0,7.0,41.0,-28.0,8.0,-1.0,6.0,2.0,3.0,5.0,8.0,6.0,3.0,4.0,13.0,1.0,6.0,3.0
Florida_Baker,0,12003,29210.0,15.4,3.4,402.0,95.2573,52804.0,0,205,81.0,1163.0,4.0,0.0,3944.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Florida_Bay,4,12005,174705.0,13.4,4.0,3548.0,93.4047,51777.0,0,57,676.0,707.0,77.0,5.0,24276.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,5.0,3.0,5.0,1.0,0.0,1.0,3.0,2.0,6.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,4.0,7.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0
Florida_Bradford,0,12007,28201.0,19.5,3.3,371.0,81.3144,45075.0,0,102,25.0,49.0,4.0,2.0,4618.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,5.0,1.0,1.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Florida_Brevard,195,12009,601942.0,11.0,3.5,9746.0,103.9309,57612.0,0,250,1867.0,1807.0,288.0,4.0,64854.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,10.0,2.0,3.0,6.0,1.0,11.0,13.0,10.0,7.0,9.0,10.0,4.0,4.0,9.0,5.0,13.0,15.0,15.0,10.0,19.0,13.0,5.0,5.0,3.0,6.0,1.0,10.0,12.0,3.0,2.0,14.0
Florida_Broward,8921,12011,1952778.0,12.6,3.4,34919.0,103.1876,57200.0,0,250,4702.0,6025.0,525.0,4.0,244310.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,9.0,16.0,0.0,12.0,24.0,24.0,32.0,36.0,53.0,46.0,48.0,44.0,149.0,110.0,200.0,24.0,314.0,67.0,13.0,249.0,117.0,167.0,121.0,181.0,163.0,128.0,96.0,191.0,161.0,139.0,232.0,84.0,102.0,103.0,222.0,150.0,133.0,107.0,90.0,60.0,203.0,160.0,68.0,70.0,65.0
