state_county,county_rank,fips,jhu_county_population,poverty_percent_state,unemployment_rate,total_unemployed,median_household_income_perc_of_state,median_household_income,emergency_declation_type,emergency_declaration_date,staffed_beds,licenced_beds,icu_beds,average_ventilator_used_per_hospital,poverty_rate,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,num_hospitals
Delaware_Kent,36247,10001,180786.0,13.8,4.1,3239.0,83.9812,54980.0,0,135,414.0,404.0,29.0,4.0,23966.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,3.0,4.0,4.0,0.0,2.0,7.0,7.0,2.0,11.0,14.0,18.0,42.0,19.0,54.0,13.0,16.0,25.0,26.0,7.0,41.0,16.0,7.0,32.0,33.0,0.0,13.0,29.0,44.0,36.0,19.0,21.0,46.0,27.0,76.0,15.0,16.0,14.0,20.0,28.0,12.0,14.0,44.0,54.0,18.0,22.0,0.0,59.0,16.0,24.0,31.0,31.0,30.0,21.0,22.0,19.0,15.0,28.0,15.0,0.0,44.0,16.0,12.0,6.0,18.0,9.0,31.0,4.0,4.0,10.0,1.0,3.0,11.0,31.0,15.0,2.0,9.0,8.0,13.0,1.0,10.0,3.0,8.0,8.0,6.0,5.0,18.0,4.0,7.0,7.0,4.0,4.0,2.0,5.0,17.0,11.0,9.0,18.0,9.0,17.0,14.0,5.0,11.0,15.0,23.0,6.0,5.0,20.0,14.0,19.0,9.0,8.0,11.0,11.0,91.0,17.0,5.0,13.0,4.0,8.0,33.0,44.0,-11.0,26.0,8.0,7.0,10.0,9.0,16.0,16.0,16.0,16.0,11.0,12.0,9.0,21.0,9.0,10.0,7.0,12.0,13.0,83.0,61.0,12.0,10.0,11.0,7.0,2.0,20.0,4.0,14.0,8.0,2.0,3.0,4.0,6.0,12.0,34.0,-4.0,16.0,15.0,0.0,16.0,23.0,21.0,13.0,8.0,7.0,0.0,17.0,3.0,35.0,6.0,14.0,13.0,12.0,9.0,3.0,13.0,13.0,10.0,7.0,16.0,5.0,2.0,6.0,14.0,12.0,12.0,14.0,6.0,152.0,16.0,15.0,10.0,5.0,11.0,5.0,7.0,22.0,13.0,18.0,11.0,5.0,13.0,13.0,31.0,15.0,14.0,2.0
Delaware_New Castle,114983,10003,558753.0,11.6,3.7,10938.0,106.2551,69562.0,0,135,1715.0,2094.0,183.0,8.0,62976.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,7.0,2.0,6.0,4.0,5.0,7.0,5.0,27.0,8.0,7.0,19.0,25.0,11.0,15.0,41.0,29.0,19.0,34.0,121.0,36.0,60.0,75.0,65.0,65.0,50.0,56.0,73.0,39.0,28.0,27.0,29.0,97.0,105.0,0.0,24.0,74.0,49.0,37.0,97.0,18.0,95.0,30.0,72.0,16.0,17.0,95.0,35.0,39.0,31.0,45.0,108.0,43.0,54.0,91.0,0.0,115.0,50.0,56.0,64.0,59.0,48.0,15.0,56.0,107.0,88.0,120.0,79.0,0.0,177.0,127.0,72.0,20.0,47.0,54.0,94.0,35.0,80.0,45.0,20.0,22.0,12.0,58.0,75.0,25.0,30.0,14.0,32.0,53.0,35.0,28.0,58.0,41.0,36.0,48.0,52.0,47.0,78.0,35.0,15.0,23.0,71.0,49.0,31.0,54.0,106.0,34.0,14.0,104.0,94.0,57.0,64.0,91.0,66.0,28.0,43.0,62.0,44.0,27.0,38.0,63.0,44.0,31.0,46.0,47.0,42.0,55.0,81.0,25.0,65.0,112.0,6.0,66.0,80.0,28.0,94.0,61.0,51.0,49.0,25.0,70.0,56.0,48.0,50.0,38.0,31.0,45.0,37.0,33.0,33.0,70.0,71.0,40.0,34.0,56.0,37.0,44.0,44.0,32.0,34.0,55.0,39.0,25.0,35.0,2.0,62.0,120.0,30.0,51.0,60.0,35.0,75.0,55.0,101.0,85.0,55.0,38.0,0.0,111.0,75.0,109.0,103.0,54.0,116.0,89.0,67.0,62.0,41.0,69.0,73.0,68.0,46.0,88.0,110.0,54.0,77.0,92.0,111.0,59.0,152.0,293.0,123.0,69.0,82.0,72.0,57.0,81.0,102.0,108.0,86.0,95.0,59.0,40.0,64.0,107.0,101.0,94.0,47.0,10.0
Delaware_Sussex,93754,10005,234225.0,12.3,3.7,3951.0,91.3758,59821.0,0,135,507.0,567.0,52.0,3.0,27750.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,4.0,6.0,5.0,3.0,1.0,10.0,22.0,7.0,15.0,7.0,13.0,4.0,12.0,8.0,26.0,8.0,51.0,69.0,15.0,42.0,68.0,60.0,87.0,88.0,39.0,20.0,113.0,75.0,0.0,169.0,84.0,178.0,60.0,17.0,96.0,311.0,69.0,244.0,55.0,47.0,76.0,67.0,102.0,36.0,23.0,244.0,70.0,102.0,54.0,0.0,101.0,114.0,131.0,167.0,62.0,93.0,81.0,122.0,43.0,56.0,46.0,42.0,0.0,55.0,15.0,14.0,8.0,11.0,4.0,60.0,38.0,19.0,27.0,6.0,9.0,8.0,20.0,4.0,7.0,8.0,12.0,6.0,10.0,12.0,5.0,10.0,12.0,1.0,2.0,39.0,17.0,8.0,6.0,8.0,13.0,16.0,-19.0,23.0,66.0,29.0,44.0,9.0,89.0,68.0,7.0,49.0,49.0,25.0,11.0,20.0,37.0,31.0,17.0,26.0,11.0,23.0,18.0,73.0,20.0,40.0,29.0,32.0,10.0,32.0,101.0,-20.0,18.0,23.0,35.0,11.0,8.0,25.0,22.0,26.0,17.0,12.0,93.0,8.0,17.0,18.0,18.0,9.0,19.0,14.0,47.0,239.0,5.0,9.0,16.0,12.0,4.0,8.0,14.0,7.0,3.0,4.0,-10.0,-14.0,-17.0,29.0,113.0,-33.0,13.0,27.0,-22.0,11.0,19.0,9.0,22.0,24.0,12.0,0.0,24.0,15.0,20.0,13.0,15.0,48.0,11.0,7.0,-15.0,30.0,31.0,18.0,17.0,7.0,18.0,27.0,9.0,13.0,21.0,21.0,9.0,16.0,106.0,49.0,34.0,28.0,26.0,16.0,46.0,36.0,40.0,33.0,46.0,35.0,26.0,18.0,44.0,86.0,42.0,42.0,4.0
District of Columbia_District of Columbia,206500,11001,705749.0,16.1,5.6,22470.0,100.0,82533.0,0,207,3077.0,4098.0,407.0,7.0,107806.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,9.0,9.0,31.0,27.0,4.0,18.0,21.0,46.0,44.0,40.0,33.0,38.0,59.0,94.0,91.0,67.0,104.0,145.0,100.0,95.0,114.0,229.0,83.0,137.0,118.0,97.0,80.0,103.0,139.0,153.0,126.0,190.0,127.0,134.0,171.0,108.0,155.0,167.0,171.0,142.0,51.0,102.0,112.0,217.0,335.0,139.0,219.0,154.0,152.0,139.0,193.0,245.0,203.0,170.0,117.0,96.0,99.0,152.0,135.0,171.0,81.0,147.0,164.0,117.0,237.0,105.0,73.0,144.0,115.0,109.0,72.0,86.0,46.0,179.0,84.0,56.0,29.0,130.0,104.0,79.0,70.0,63.0,57.0,85.0,63.0,52.0,65.0,55.0,58.0,32.0,19.0,29.0,56.0,49.0,32.0,36.0,38.0,36.0,34.0,31.0,26.0,31.0,32.0,44.0,35.0,38.0,25.0,45.0,12.0,35.0,33.0,54.0,73.0,37.0,64.0,58.0,46.0,59.0,40.0,80.0,50.0,39.0,79.0,67.0,78.0,88.0,102.0,42.0,78.0,68.0,63.0,78.0,87.0,54.0,58.0,69.0,79.0,69.0,39.0,85.0,45.0,75.0,71.0,64.0,100.0,54.0,89.0,63.0,65.0,94.0,41.0,61.0,53.0,52.0,29.0,55.0,60.0,65.0,56.0,49.0,45.0,0.0,110.0,57.0,74.0,34.0,33.0,57.0,28.0,58.0,51.0,52.0,41.0,36.0,47.0,25.0,25.0,81.0,0.0,99.0,30.0,65.0,56.0,47.0,62.0,50.0,53.0,23.0,43.0,29.0,56.0,57.0,52.0,35.0,14.0,36.0,26.0,32.0,65.0,50.0,46.0,28.0,105.0,0.0,113.0,78.0,75.0,66.0,38.0,46.0,64.0,34.0,89.0,79.0,36.0,25.0,15.0
Florida_Alachua,61002,12001,269043.0,19.8,3.3,4493.0,92.0499,51026.0,0,180,1549.0,2050.0,233.0,7.0,50922.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,3.0,3.0,4.0,4.0,10.0,10.0,1.0,1.0,8.0,4.0,8.0,10.0,4.0,8.0,8.0,3.0,5.0,15.0,6.0,7.0,8.0,8.0,5.0,6.0,17.0,7.0,41.0,-28.0,8.0,-1.0,6.0,2.0,3.0,5.0,8.0,6.0,3.0,4.0,13.0,1.0,6.0,3.0,1.0,7.0,5.0,6.0,2.0,11.0,3.0,0.0,6.0,5.0,6.0,2.0,4.0,8.0,4.0,2.0,4.0,0.0,-1.0,3.0,5.0,2.0,5.0,2.0,8.0,1.0,6.0,4.0,5.0,0.0,2.0,6.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,4.0,3.0,0.0,5.0,8.0,31.0,63.0,25.0,10.0,10.0,13.0,16.0,20.0,33.0,40.0,43.0,22.0,22.0,47.0,56.0,82.0,88.0,91.0,35.0,38.0,48.0,87.0,91.0,83.0,72.0,58.0,65.0,91.0,79.0,107.0,65.0,55.0,75.0,85.0,64.0,75.0,68.0,66.0,88.0,64.0,54.0,72.0,81.0,94.0,66.0,94.0,42.0,111.0,56.0,95.0,78.0,64.0,72.0,87.0,59.0,54.0,90.0,54.0,82.0,54.0,29.0,75.0,63.0,82.0,92.0,61.0,85.0,41.0,43.0,46.0,54.0,52.0,54.0,31.0,31.0,42.0,30.0,29.0,35.0,48.0,28.0,3.0,55.0,52.0,42.0,64.0,89.0,84.0,51.0,89.0,90.0,86.0,131.0,212.0,160.0,154.0,102.0,157.0,180.0,205.0,183.0,120.0,79.0,70.0,84.0,127.0,98.0,100.0,49.0,55.0,66.0,63.0,59.0,87.0,55.0,54.0,22.0,49.0,23.0,91.0,84.0,0.0,114.0,54.0,70.0,78.0,57.0,117.0,105.0,40.0,44.0,6.0
Florida_Baker,9919,12003,29210.0,15.4,3.4,402.0,95.2573,52804.0,0,180,81.0,1163.0,4.0,0.0,3944.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,2.0,3.0,-2.0,0.0,2.0,3.0,4.0,4.0,2.0,6.0,9.0,8.0,4.0,14.0,4.0,4.0,4.0,10.0,7.0,8.0,16.0,11.0,13.0,5.0,7.0,15.0,13.0,5.0,12.0,6.0,7.0,5.0,4.0,11.0,20.0,15.0,10.0,12.0,7.0,14.0,13.0,15.0,15.0,17.0,20.0,6.0,99.0,102.0,197.0,80.0,25.0,32.0,80.0,8.0,7.0,11.0,7.0,1.0,8.0,2.0,10.0,10.0,3.0,6.0,1.0,0.0,14.0,4.0,7.0,5.0,3.0,2.0,11.0,48.0,19.0,7.0,10.0,11.0,12.0,2.0,8.0,5.0,15.0,6.0,12.0,11.0,11.0,12.0,20.0,15.0,13.0,9.0,2.0,5.0,9.0,9.0,14.0,18.0,3.0,2.0,3.0,9.0,8.0,16.0,9.0,6.0,9.0,2.0,22.0,35.0,13.0,0.0,16.0,2.0,3.0,17.0,13.0,17.0,9.0,4.0,6.0,2.0
Florida_Bay,49032,12005,174705.0,13.4,4.0,3548.0,93.4047,51777.0,0,34,676.0,707.0,77.0,5.0,24276.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,5.0,3.0,5.0,1.0,0.0,1.0,3.0,2.0,6.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,4.0,7.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,-1.0,1.0,2.0,-1.0,6.0,6.0,4.0,8.0,7.0,2.0,1.0,2.0,0.0,4.0,2.0,4.0,8.0,4.0,4.0,6.0,8.0,13.0,2.0,15.0,25.0,10.0,8.0,39.0,18.0,17.0,25.0,37.0,24.0,173.0,44.0,59.0,29.0,31.0,74.0,62.0,60.0,87.0,80.0,86.0,129.0,108.0,93.0,79.0,135.0,115.0,148.0,105.0,90.0,74.0,87.0,121.0,385.0,110.0,54.0,120.0,111.0,100.0,118.0,145.0,53.0,28.0,220.0,67.0,89.0,117.0,194.0,52.0,7.0,76.0,28.0,93.0,76.0,67.0,34.0,15.0,50.0,52.0,65.0,55.0,62.0,24.0,37.0,14.0,42.0,52.0,26.0,26.0,14.0,8.0,36.0,18.0,38.0,18.0,18.0,19.0,12.0,12.0,23.0,26.0,39.0,37.0,23.0,11.0,26.0,13.0,22.0,13.0,35.0,37.0,39.0,18.0,28.0,44.0,31.0,41.0,17.0,6.0,43.0,18.0,22.0,15.0,22.0,11.0,5.0,16.0,12.0,22.0,19.0,0.0,33.0,2.0,44.0,19.0,28.0,14.0,28.0,13.0,1.0,5.0
Florida_Bradford,6923,12007,28201.0,19.5,3.3,371.0,81.3144,45075.0,0,3,25.0,49.0,4.0,2.0,4618.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,5.0,1.0,1.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,2.0,1.0,5.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0,5.0,3.0,2.0,1.0,0.0,7.0,3.0,8.0,6.0,11.0,3.0,11.0,1.0,16.0,12.0,7.0,5.0,5.0,5.0,3.0,7.0,7.0,9.0,7.0,5.0,3.0,4.0,67.0,9.0,9.0,7.0,5.0,3.0,1.0,2.0,35.0,56.0,35.0,25.0,14.0,11.0,16.0,10.0,9.0,9.0,6.0,4.0,8.0,8.0,24.0,5.0,22.0,9.0,11.0,3.0,10.0,19.0,13.0,12.0,12.0,9.0,15.0,11.0,33.0,21.0,17.0,15.0,4.0,7.0,10.0,10.0,22.0,8.0,18.0,8.0,8.0,18.0,21.0,16.0,17.0,10.0,6.0,10.0,11.0,13.0,14.0,9.0,9.0,3.0,25.0,2.0,6.0,3.0,10.0,3.0,0.0,2.0,4.0,6.0,3.0,0.0,9.0,2.0,4.0,6.0,7.0,3.0,4.0,1.0,0.0,1.0
Florida_Brevard,77684,12009,601942.0,11.0,3.5,9746.0,103.9309,57612.0,0,43,1867.0,1807.0,288.0,4.0,64854.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,10.0,2.0,3.0,6.0,1.0,11.0,13.0,10.0,7.0,9.0,10.0,4.0,4.0,9.0,5.0,13.0,15.0,15.0,10.0,19.0,13.0,5.0,5.0,3.0,6.0,1.0,10.0,12.0,3.0,2.0,14.0,2.0,2.0,15.0,4.0,8.0,11.0,2.0,9.0,1.0,5.0,1.0,2.0,0.0,2.0,16.0,-2.0,4.0,8.0,3.0,6.0,2.0,4.0,1.0,4.0,4.0,9.0,5.0,4.0,1.0,0.0,2.0,8.0,11.0,2.0,2.0,3.0,1.0,3.0,8.0,14.0,4.0,7.0,7.0,13.0,22.0,13.0,22.0,4.0,20.0,43.0,42.0,38.0,60.0,69.0,33.0,28.0,40.0,104.0,127.0,148.0,250.0,84.0,85.0,77.0,169.0,218.0,186.0,87.0,68.0,70.0,114.0,107.0,173.0,119.0,133.0,132.0,141.0,122.0,90.0,82.0,141.0,115.0,162.0,81.0,110.0,148.0,97.0,98.0,142.0,68.0,103.0,86.0,99.0,79.0,87.0,101.0,66.0,32.0,52.0,41.0,82.0,57.0,112.0,101.0,35.0,91.0,58.0,65.0,79.0,86.0,33.0,27.0,76.0,53.0,86.0,44.0,92.0,23.0,34.0,26.0,68.0,52.0,40.0,50.0,19.0,33.0,144.0,45.0,41.0,68.0,66.0,35.0,23.0,33.0,53.0,45.0,74.0,65.0,34.0,35.0,55.0,47.0,96.0,71.0,88.0,43.0,34.0,73.0,76.0,58.0,92.0,72.0,41.0,7.0,135.0,66.0,105.0,67.0,114.0,38.0,26.0,112.0,57.0,89.0,120.0,0.0,136.0,23.0,89.0,85.0,73.0,85.0,81.0,48.0,30.0,12.0
Florida_Broward,746636,12011,1952778.0,12.6,3.4,34919.0,103.1876,57200.0,0,43,4702.0,6025.0,525.0,4.0,244310.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,9.0,16.0,0.0,12.0,24.0,24.0,32.0,36.0,53.0,46.0,48.0,44.0,149.0,110.0,200.0,24.0,314.0,67.0,13.0,249.0,117.0,167.0,121.0,181.0,163.0,128.0,96.0,191.0,161.0,139.0,232.0,84.0,102.0,103.0,222.0,150.0,133.0,107.0,90.0,60.0,203.0,160.0,68.0,70.0,65.0,53.0,51.0,55.0,191.0,113.0,55.0,71.0,109.0,61.0,124.0,11.0,92.0,78.0,24.0,91.0,25.0,59.0,76.0,68.0,42.0,79.0,47.0,38.0,107.0,66.0,69.0,48.0,63.0,39.0,26.0,45.0,105.0,92.0,56.0,73.0,52.0,91.0,123.0,110.0,118.0,114.0,120.0,111.0,158.0,144.0,252.0,275.0,64.0,158.0,412.0,314.0,299.0,337.0,389.0,318.0,172.0,417.0,473.0,367.0,736.0,726.0,574.0,425.0,579.0,531.0,961.0,1113.0,1346.0,1664.0,617.0,739.0,1186.0,1321.0,1603.0,1548.0,1772.0,1459.0,1330.0,1339.0,1413.0,1347.0,1218.0,1150.0,1695.0,1601.0,1170.0,1263.0,1566.0,1611.0,1163.0,1434.0,873.0,1313.0,1342.0,1099.0,1386.0,1178.0,556.0,422.0,401.0,704.0,688.0,868.0,654.0,630.0,707.0,475.0,661.0,628.0,642.0,436.0,379.0,367.0,341.0,534.0,474.0,349.0,245.0,247.0,201.0,299.0,264.0,366.0,251.0,186.0,171.0,1124.0,126.0,263.0,246.0,232.0,181.0,133.0,130.0,140.0,173.0,215.0,189.0,161.0,91.0,164.0,143.0,216.0,218.0,233.0,183.0,119.0,143.0,202.0,183.0,191.0,180.0,154.0,20.0,248.0,98.0,213.0,198.0,131.0,172.0,78.0,124.0,238.0,240.0,181.0,0.0,537.0,102.0,177.0,265.0,236.0,331.0,377.0,287.0,170.0,28.0
