Date,Confirmed
"Jan 1, 2020",27
"Jan 2, 2020",27
"Jan 3, 2020",44
"Jan 4, 2020",44
"Jan 5, 2020",59
"Jan 6, 2020",59
"Jan 7, 2020",59
"Jan 8, 2020",59
"Jan 9, 2020",59
"Jan 10, 2020",59
"Jan 11, 2020",59
"Jan 12, 2020",59
"Jan 13, 2020",60
"Jan 14, 2020",60
"Jan 15, 2020",61
"Jan 16, 2020",61
"Jan 17, 2020",66
"Jan 18, 2020",83
"Jan 19, 2020",219
"Jan 20, 2020",239
"Jan 21, 2020",392
"Jan 22, 2020",534
"Jan 23, 2020",631
"Jan 24, 2020",897
"Jan 25, 2020",1350
"Jan 26, 2020",2023
"Jan 27, 2020",2820
"Jan 28, 2020",4587
"Jan 29, 2020",6067
"Jan 30, 2020",7823
"Jan 31, 2020",9826
"Feb 1, 2020",11946
"Feb 2, 2020",14554
"Feb 3, 2020",17372
"Feb 4, 2020",20615
"Feb 5, 2020",24522
"Feb 6, 2020",28273
"Feb 7, 2020",31491
"Feb 8, 2020",34933
"Feb 9, 2020",37552
"Feb 10, 2020",40540
"Feb 11, 2020",43105
"Feb 12, 2020",45177
"Feb 13, 2020",60328
"Feb 14, 2020",64543
"Feb 15, 2020",67103
"Feb 16, 2020",69265
"Feb 17, 2020",71332
"Feb 18, 2020",73327
"Feb 19, 2020",75191
"Feb 20, 2020",75723
"Feb 21, 2020",76719
"Feb 22, 2020",77804
"Feb 23, 2020",78812
"Feb 24, 2020",79339
"Feb 25, 2020",80132
"Feb 26, 2020",80995
"Feb 27, 2020",82101
"Feb 28, 2020",83365
"Feb 29, 2020",85203
"Mar 1, 2020",87026
"Mar 2, 2020",89068
"Mar 3, 2020",90865
"Mar 4, 2020",93077
"Mar 5, 2020",95316
"Mar 6, 2020",98172
"Mar 7, 2020",102133
"Mar 8, 2020",105824
"Mar 9, 2020",109695
"Mar 10, 2020",114235
"Mar 11, 2020",118613
"Mar 12, 2020",125497
"Mar 13, 2020",133853
"Mar 14, 2020",143259
"Mar 15, 2020",154774
"Mar 16, 2020",167418
"Mar 17, 2020",180094
"Mar 18, 2020",194843
"Mar 19, 2020",213149
"Mar 20, 2020",242374
"Mar 21, 2020",271116
"Mar 22, 2020",305235
"Mar 23, 2020",338235
"Mar 24, 2020",377968
"Mar 25, 2020",416881
"Mar 26, 2020",468092
"Mar 27, 2020",527839
"Mar 28, 2020",591796
"Mar 29, 2020",656834
"Mar 30, 2020",715377
"Mar 31, 2020",777187
"Apr 1, 2020",851587
"Apr 2, 2020",928491
"Apr 3, 2020",1006063
"Apr 4, 2020",1087822
"Apr 5, 2020",1174306
"Apr 6, 2020",1245601
"Apr 7, 2020",1316988
"Apr 8, 2020",1391881
"Apr 9, 2020",1476792
"Apr 10, 2020",1563819
"Apr 11, 2020",1653160
"Apr 12, 2020",1734868
"Apr 13, 2020",1807256
"Apr 14, 2020",1873639
"Apr 15, 2020",1953786
"Apr 16, 2020",2033745
"Apr 17, 2020",2117297
"Apr 18, 2020",2199460
"Apr 19, 2020",2278484
"Apr 20, 2020",2350993
"Apr 21, 2020",2427353
"Apr 22, 2020",2513399
"Apr 23, 2020",2579869
"Apr 24, 2020",2658074
"Apr 25, 2020",2730883
"Apr 26, 2020",2832580
"Apr 27, 2020",2916338
